County,City,Town,Address,Hospital_Name,Hospital_Type,Latitude,Longitude
전라북도,전주시,완산구,삼천동3가 321번지 51호,전주시립요양병원,요양병원(일반요양병원),35.8027429,127.0838373
경상남도,창원시,마산합포구,오동동 6번지 7호,하나병원,병원,35.2080563,128.582416
경상북도,경주시,안강읍,산대리 1784번지 4호,안강중앙병원,정신병원,35.993235,129.2171366
전라남도,고흥군,도양읍,용정리 233번지 5호 5호,의료법인장호의료재단 녹동현대병원,의사,34.5554208,127.130675
경상남도,양산시,상북면,내석리 산 141번지,노아병원,정신병원,35.4420904,129.0387047
전라북도,남원시,사매면,관풍리 665번지 1호,남원성일병원,정신병원,35.476839,127.3690536
전라북도,김제시,금구면,낙성리 359번지,미래병원,정신병원,35.8074184,127.0011845
경상북도,영천시,오수동,307번지,영남대학교의과대학부속영천병원,,35.9573579,128.9133963
경상남도,양산시,덕계동,532번지 덕계성심병원,덕계성심병원,정신병원,35.3647584,129.150492
경상북도,칠곡군,왜관읍,금남리 315-1,의료법인고산의료재단칠곡시몬병원,정신병원,35.9262626,128.41295
경상북도,안동시,남후면,무릉리 363-2,경상북도립안동노인전문요양병원,요양병원(노인병원),36.5234519,128.6892534
전라북도,완주군,소양면,해월리 849-1,사회복지법인 성바오로애덕원 성바오로복지병원,요양병원(일반요양병원),35.8597505,127.2606736
전라남도,목포시,석현동,815번지 8호 8호,의료법인목포구암의료재단 목포중앙병원,의사,34.822204,126.4219121
전라북도,남원시,향교동140-3번지,,남원병원,병원,35.415971,127.3865826
전라남도,목포시,상동,577-1번지,목포원광한방병원,한방병원,34.8055817,126.4141683
전라남도,순천시,연향동,1235번지,의료법인한국의료재단 순천한국병원,의사,34.9477119,127.5122899
전라남도,여수시,화양면,장수리 228,재단법인여수요양병원,요양병원(일반요양병원),34.6487656,127.6068186
경상남도,진주시,주약동,110-2,진주세란병원,병원,35.1744905,128.0929887
경상북도,김천시,신음동,462-14,의료법인 덕산의료재단 김천제일병원,종합병원,36.1354917,128.1190092
경상북도,칠곡군,약목면,관호리 910-12,의료법인혜원의료재단혜원성모병원,정신병원,36.0029975,128.3839319
경상남도,김해시,삼계동,117번지,(의)동남의료재단 동남병원,정신병원,35.2730232,128.8693361
