Bank_Type,Bank_Name,Bank_Address,County,City,Town,Address,Latitude,Longitude
신한은행,김천법원(출),경북 김천시 삼락동   물망골길 39,경상북도,김천시,삼락동,물망골길 39,36.1419,128.0793
신한은행,김해금융센터,경남 김해시 내동   내외중앙로 92,경상남도,김해시,내동,내외중앙로 92,35.2424,128.8622
신한은행,나주빛가람,전남 나주시 빛가람동   전력로 2,전라남도,나주시,빛가람동,전력로 2,35.02188,126.790193
신한은행,마산금융센터,경남 창원시 마산합포구   산호북19길 1,경상남도,창원시,마산합포구,산호북19길 1,35.2215853,128.5852486
신한은행,목포,전남 목포시 호남동   영산로 118,전라남도,목포시,호남동,영산로 118,34.7939,126.3879
신한은행,목포대학교,전남 무안군 청계면   영산로 1666,전라남도,무안군,청계면,영산로 1666,34.9103065,126.4402102
신한은행,목포법원(출),전남 목포시 옥암동   정의로 29,전라남도,목포시,옥암동,정의로 29,34.81015,126.429858
신한은행,목포하당금융센터,전남 목포시 상동   백년대로 352,전라남도,목포시,상동,백년대로 352,34.813824,126.414172
신한은행,새만금금융센터,전북 군산시 오식도동   자유로 482,전라북도,군산시,오식도동,자유로 482,35.958517,126.548051
신한은행,순천금융센터,전남 순천시 연향동   연향3로 31,전라남도,순천시,연향동,연향3로 31,34.9403,127.5221
신한은행,순천법원,전남 순천시 왕지동   왕지로 21,전라남도,순천시,왕지동,왕지로 21,34.975,127.538
신한은행,시티세븐,경남 창원시 성산구   원이대로 320,경상남도,창원시,성산구,원이대로 320,35.2396668,128.6544087
신한은행,안동,경북 안동시 삼산동   중앙로 41,경상북도,안동시,삼산동,중앙로 41,36.565728,128.731296
신한은행,안동대학교(출),경북 안동시 송천동   경동로 1375,경상북도,안동시,송천동,경동로 1375,36.5485,128.798225
신한은행,안동법원(출),경북 안동시 정하동   강남로 304,경상북도,안동시,정하동,강남로 304,36.5438,128.7292
신한은행,안동병원(출),경북 안동시 수상동   앙실로 11,경상북도,안동시,수상동,앙실로 11,36.539883,128.706125
신한은행,안동시청(출),경북 안동시 명륜동   퇴계로 115,경상북도,안동시,명륜동,퇴계로 115,36.5699,128.7295
신한은행,양산금융센터,경남 양산시 북부동   중앙로 177,경상남도,양산시,북부동,중앙로 177,35.3466,129.041
신한은행,여수금융센터,전남 여수시 학동   시청로 6,전라남도,여수시,학동,시청로 6,34.7623,127.6625
신한은행,영주,경북 영주시 하망동   영주로 227,경상북도,영주시,하망동,영주로 227,36.823899,128.630352
신한은행,웅상금융센터,경남 양산시 삼호동   삼호1길 52,경상남도,양산시,삼호동,삼호1길 52,35.407,129.1837
신한은행,익산금융센터,전북 익산시 영등동   무왕로 1052,전라북도,익산시,영등동,무왕로 1052,35.952341,126.972578
신한은행,인동금융센터,경북 구미시 인의동   인동가산로 35,경상북도,구미시,인의동,인동가산로 35,36.1068,128.4353
신한은행,인제대학교(출),경남 김해시 어방동   인제로 197,경상남도,김해시,어방동,인제로 197,35.2378,128.9033
신한은행,전북금융센터,전북 전주시 완산구   팔달로 204,전라북도,전주시,완산구,팔달로 204,35.8206363,127.1464285
신한은행,전주,전북 전주시 완산구   팔달로 204,전라북도,전주시,완산구,팔달로 204,35.8206363,127.1464285
신한은행,전주에코시티,전북 전주시 덕진구   과학로 20,전라북도,전주시,덕진구,과학로 20,35.8719720,127.1227184
신한은행,진영금융센터,경남 김해시 진영읍   장등로 8,경상남도,김해시,진영읍,장등로 8,35.3069631,128.7352174
신한은행,진주금융센터,경남 진주시 상대동   솔밭로 107,경상남도,진주시,상대동,솔밭로 107,35.180097,128.111759
신한은행,창원,경남 창원시 성산구   중앙대로 99,경상남도,창원시,성산구,중앙대로 99,35.2238542,128.6793721
신한은행,창원기업금융센터,경남 창원시 성산구   중앙대로 60,경상남도,창원시,성산구,중앙대로 60,35.2201977,128.6777107
신한은행,포스코대로금융센터,경북 포항시 북구   포스코대로 299,경상북도,포항시,북구,포스코대로 299,36.0200277,129.3571899
신한은행,포항,경북 포항시 북구   중앙로 284,경상북도,포항시,북구,중앙로 284,36.0381449,129.3659406
신한은행,포항법원(출),경북 포항시 북구   법원로 181,경상북도,포항시,북구,법원로 181,36.0919166,129.3888393
우리은행,LG전자(출),경남 창원시 성산구 성산동   완암로,경상남도,창원시,성산구,성산동 완암로,35.198384,128.70294
우리은행,LH진주혁신도시지점,경남 진주시 충무공동   충의로,경상남도,진주시,충무공동,충의로,35.1749,128.150337
우리은행,POSCO기술연구소(출),경북 포항시 남구 동촌동   동해안로,경상북도,포항시,남구,동촌동 동해안로,36.008482,129.359398
우리은행,POSCO타운지점,경북 포항시 남구 지곡동   지곡로,경상북도,포항시,남구,지곡동 지곡로,36.008482,129.359398
우리은행,거제지점,경남 거제시 고현동   거제중앙로,경상남도,거제시,고현동,거제중앙로,34.88219,128.618473
우리은행,경산지점,경북 경산시 중산동   옥산로,경상북도,경산시,중산동,옥산로,35.8313,128.7207
우리은행,경주지점,경북 경주시 동부동   화랑로,경상북도,경주시,동부동,화랑로,35.8458,129.212
우리은행,광양POSCO금융센터,전남 광양시 금호동   희망길,전라남도,광양시,금호동,희망길,34.937703,127.723185
우리은행,구미공단금융센터,경북 구미시 공단동   1공단로,경상북도,구미시,공단동,1공단로,36.1229046,128.3666835
우리은행,구미인동지점,경북 구미시 황상동   인동가산로,경상북도,구미시,황상동,인동가산로,36.1159,128.4401
우리은행,구미지점,경북 구미시 송정동   송정대로,경상북도,구미시,송정동,송정대로,36.118504,128.347242
우리은행,국민연금공단금융센터,전북 전주시 덕진구 만성동   기지로,전라북도,전주시,덕진구,만성동 기지로,35.8294,127.134362
우리은행,군산금융센터,전북 군산시 수송동   문화로,전라북도,군산시,수송동,문화로,35.964879,126.717553
우리은행,군산나운동지점,전북 군산시 나운동   백토로,전라북도,군산시,나운동,백토로,35.96679,126.694791
우리은행,군산디오션시티(출),전북 군산시 조촌동   궁포1로,전라북도,군산시,조촌동,궁포1로,35.974425,126.737225
우리은행,김제지점,전북 김제시 요촌동   화동길,전라북도,김제시,요촌동,화동길,35.805192,126.891464
우리은행,김천지점,경북 김천시 율곡동   혁신3로,경상북도,김천시,율곡동,혁신3로,36.121372,128.183747
우리은행,김해금융센터,경남 김해시 내동   내외중앙로,경상남도,김해시,내동,내외중앙로,35.2424,128.8622
우리은행,김해장유지점,경남 김해시 대청동   번화1로56번길,경상남도,김해시,대청동,번화1로56번길,35.1863,128.7761
우리은행,마산지점,경남 창원시 마산합포구 남성동   해안대로,경상남도,창원시,마산합포구,남성동 해안대로,35.196874,128.567863
우리은행,목포지점,전남 목포시 상동   백년대로,전라남도,목포시,상동,백년대로,34.813824,126.414172
