관서명,구분,명칭,시도,시군구,상세주소,주소
학성,지구대,학성지구대,울산광역시,중구,학산로 7,울산광역시 중구 학산로 7
병영,지구대,병영지구대,울산광역시,중구,병영성7길 11,울산광역시 중구 병영성7길 11
반구,파출소,반구파출소,울산광역시,중구,반구정10길 4,울산광역시 중구 반구정10길 4
성안,파출소,성안파출소,울산광역시,중구,성안로 257,울산광역시 중구 성안로 257
신정,지구대,신정지구대,울산광역시,남구,돋질로 118,울산광역시 남구 돋질로 118
삼산,지구대,삼산지구대,울산광역시,남구,번영로 217,울산광역시 남구 번영로 217
야음,지구대,야음지구대,울산광역시,남구,수암로 277,울산광역시 남구 수암로 277
옥동,지구대,옥동지구대,울산광역시,남구,대공원입구로21번길 16,울산광역시 남구 대공원입구로21번길 16
무거,지구대,무거지구대,울산광역시,남구,신복로22번길 22,울산광역시 남구 신복로22번길 22
본동,파출소,본동파출소,울산광역시,남구,화합로194번길 17,울산광역시 남구 화합로194번길 17
방어진,지구대,방어진지구대,울산광역시,동구,월봉12길 77,울산광역시 동구 월봉12길 77
전하,지구대,전하지구대,울산광역시,동구,진성4길 20,울산광역시 동구 진성4길 20
남목,파출소,남목파출소,울산광역시,동구,동해안로 54,울산광역시 동구 동해안로 54
서부,파출소,서부파출소,울산광역시,동구,서부로 74,울산광역시 동구 서부로 74
화봉,파출소,화봉파출소,울산광역시,북구,화봉로 83,울산광역시 북구 화봉로 83
명촌,지구대,명촌지구대,울산광역시,북구,명촌21길14,울산광역시 북구 명촌21길14
농소1,파출소,농소1파출소,울산광역시,북구,호계로 194,울산광역시 북구 호계로 194
농소3,파출소,농소3파출소,울산광역시,북구,아진로 74,울산광역시 북구 아진로 74
양정,파출소,양정파출소,울산광역시,북구,염포로 549,울산광역시 북구 염포로 549
강동,파출소,강동파출소,울산광역시,북구,산음12길 6,울산광역시 북구 산음12길 6
서생,파출소,서생파출소,울산광역시,울주군,서생면 해맞이로 867,울산광역시 울주군 서생면 해맞이로 867
범서,파출소,범서파출소,울산광역시,울주군,범서읍 대리로 12,울산광역시 울주군 범서읍 대리로 12
언양,파출소,언양파출소,울산광역시,울주군,언양읍 남천둑길 7,울산광역시 울주군 언양읍 남천둑길 7
온양,파출소,온양파출소,울산광역시,울주군,온양읍 남창2길 30,울산광역시 울주군 온양읍 남창2길 30
온산,파출소,온산파출소,울산광역시,울주군,온산읍 덕신로 229,울산광역시 울주군 온산읍 덕신로 229
두동,파출소,두동파출소,울산광역시,울주군,두동면 대밀길 25,울산광역시 울주군 두동면 대밀길 25
상북,파출소,상북파출소,울산광역시,울주군,상북면 상북로 294,울산광역시 울주군 상북면 상북로 294
삼남,파출소,삼남파출소,울산광역시,울주군,삼남면 중남로 47,울산광역시 울주군 삼남면 중남로 47
청량,파출소,청량파출소,울산광역시,울주군,청량읍 온산로 767,울산광역시 울주군 청량읍 온산로 767
웅촌,파출소,웅촌파출소,울산광역시,울주군,웅촌면 곡천검단로 15,울산광역시 울주군 웅촌면 곡천검단로 15
금남,파출소,금남파출소,세종특별자치시,금남면,용포로 62,세종특별자치시 금남면 용포로 62
한솔,지구대,한솔지구대,세종특별자치시,노을3로,31,세종특별자치시 노을3로 31
아름,지구대,아름지구대,세종특별자치시,보듬3로,113,세종특별자치시 보듬3로 113
보람,지구대,보람지구대,세종특별자치시,남세종로,440,세종특별자치시 남세종로 440
조치원,지구대,조치원지구대,세종특별자치시,조치원읍,새내로 140,세종특별자치시 조치원읍 새내로 140
연동,파출소,연동파출소,세종특별자치시,부강면,청연로 606-1,세종특별자치시 부강면 청연로 606-1
전의,파출소,전의파출소,세종특별자치시,전의면,만세길 6,세종특별자치시 전의면 만세길 6
전동,파출소,전동파출소,세종특별자치시,전동면,하노장4길 9,세종특별자치시 전동면 하노장4길 9
부강,파출소,부강파출소,세종특별자치시,부강면,부강신대길 72-2,세종특별자치시 부강면 부강신대길 72-2
장안문,지구대,장안문지구대,경기도,수원시,장안구 송정로 113,경기도 수원시 장안구 송정로 113
노송,지구대,노송지구대,경기도,수원시,장안구 이목로 58,경기도 수원시 장안구 이목로 58
화서문,지구대,화서문지구대,경기도,수원시,팔달구 수성로182번길 3,경기도 수원시 팔달구 수성로182번길 3
창룡문,지구대,창룡문지구대,경기도,수원시,장안구 경수대로 758,경기도 수원시 장안구 경수대로 758
동부,파출소,동부파출소,경기도,수원시,팔달구 경수대로 621,경기도 수원시 팔달구 경수대로 621
율천,파출소,율천파출소,경기도,수원시,장안구 하률로 2,경기도 수원시 장안구 하률로 2
행궁,파출소,행궁파출소,경기도,수원시,찰달구 창룡대로 48,경기도 수원시 찰달구 창룡대로 48
인계,지구대,인계지구대,경기도,수원시,팔달구 장다리로 312,경기도 수원시 팔달구 장다리로 312
산남,지구대,산남지구대,경기도,수원시,영통구 매영로 93-18,경기도 수원시 영통구 매영로 93-18
곡선,지구대,곡선지구대,경기도,수원시,권선구 권중로77,경기도 수원시 권선구 권중로77
영통,지구대,영통지구대,경기도,수원시,영통구 청명로 92,경기도 수원시 영통구 청명로 92
매탄,지구대,매탄지구대,경기도,수원시,팔달구 동수원로 403,경기도 수원시 팔달구 동수원로 403
세류,지구대,세류지구대,경기도,수원시,권선구 정조로 370,경기도 수원시 권선구 정조로 370
권선,파출소,권선파출소,경기도,수원시,권선로 699번길 24-23,경기도 수원시 권선로 699번길 24-23
태장,파출소,태장파출소,경기도,수원시,영통구 영통로 143,경기도 수원시 영통구 영통로 143
광교,지구대,광교지구대,경기도,수원시,영통구 에듀타운로 82,경기도 수원시 영통구 에듀타운로 82
매산,지구대,매산지구대,경기도,수원시,팔달구 덕영대로 944,경기도 수원시 팔달구 덕영대로 944
서호,지구대,서호지구대,경기도,수원시,권선구 구운로73번길 18-13,경기도 수원시 권선구 구운로73번길 18-13
고색,파출소,고색파출소,경기도,수원시,권선구 서부로 1673,경기도 수원시 권선구 서부로 1673
고등,파출소,고등파출소,경기도,수원시,팔달구 고등동 고등로 50,경기도 수원시 팔달구 고등동 고등로 50
호매실,지구대,호매실지구대,경기도,수원시,권선구 금곡동 금곡로 190,경기도 수원시 권선구 금곡동 금곡로 190
유천,파출소,유천파출소,경기도,수원시,팔달구 매교동 매산로 116번길 50,경기도 수원시 팔달구 매교동 매산로 116번길 50
당수,파출소,당수파출소,경기도,수원시,권선구 당진로 32번길 28-4,경기도 수원시 권선구 당진로 32번길 28-4
갈산,지구대,갈산지구대,경기도,안양시,동안구 흥안대로223번길 30-1,경기도 안양시 동안구 흥안대로223번길 30-1
인덕원,지구대,인덕원지구대,경기도,안양시,동안구 동편로 190,경기도 안양시 동안구 동편로 190
비산,지구대,비산지구대,경기도,안양시,동안구 관악대로 125,경기도 안양시 동안구 관악대로 125
범계,지구대,범계지구대,경기도,안양시,동안구 경수대로508번길 17,경기도 안양시 동안구 경수대로508번길 17
평안,지구대,평안지구대,경기도,안양시,동안구 평촌대로217번길 57,경기도 안양시 동안구 평촌대로217번길 57
호계,파출소,호계파출소,경기도,안양시,동안구 관평로138번길 43,경기도 안양시 동안구 관평로138번길 43
명학,지구대,명학지구대,경기도,안양시,만안구 안양로170번길 20,경기도 안양시 만안구 안양로170번길 20
안양,지구대,안양지구대,경기도,안양시,만안구 병목안로 56,경기도 안양시 만안구 병목안로 56
석수,지구대,석수지구대,경기도,안양시,만안구 경수대로 1161,경기도 안양시 만안구 경수대로 1161
박달,지구대,박달지구대,경기도,안양시,만안구 박달로 492,경기도 안양시 만안구 박달로 492
군포,지구대,군포지구대,경기도,군포시,군포로 511,경기도 군포시 군포로 511
산본,지구대,산본지구대,경기도,군포시,수리산로203번길 51,경기도 군포시 수리산로203번길 51
대야,파출소,대야파출소,경기도,군포시,대야1로 24번길 4,경기도 군포시 대야1로 24번길 4
금정,파출소,금정파출소,경기도,군포시,군포로 683번길 31,경기도 군포시 군포로 683번길 31
송부,파출소,송부파출소,경기도,군포시,번영로 6-4,경기도 군포시 번영로 6-4
수진,지구대,수진지구대,경기도,성남시,수정구 모란로 1,경기도 성남시 수정구 모란로 1
신흥,지구대,신흥지구대,경기도,성남시,수정구 시민로 150,경기도 성남시 수정구 시민로 150
중앙,파출소,중앙파출소,경기도,성남시,수정구 수정로 145,경기도 성남시 수정구 수정로 145
산성,파출소,산성파출소,경기도,성남시,수정구 수정남로 317,경기도 성남시 수정구 수정남로 317
단대,파출소,단대파출소,경기도,성남시,수정구 단대로 15,경기도 성남시 수정구 단대로 15
수진1,파출소,수진1파출소,경기도,성남시,수정구 탄리로 21,경기도 성남시 수정구 탄리로 21
태평4,파출소,태평4파출소,경기도,성남시,수정구 남문로 128,경기도 성남시 수정구 남문로 128
고등,파출소,고등파출소,경기도,성남시,수정구 고등공원로 47,경기도 성남시 수정구 고등공원로 47
복정,파출소,복정파출소,경기도,성남시,수정구 복정로 36,경기도 성남시 수정구 복정로 36
성남위례,파출소,성남위례파출소,경기도,성남시,수정구 위례동로 135-2,경기도 성남시 수정구 위례동로 135-2
성호,지구대,성호지구대,경기도,성남시,중원구 산성대로 190-6,경기도 성남시 중원구 산성대로 190-6
금광,지구대,금광지구대,경기도,성남시,중원구 산성대로 408번길 26-1,경기도 성남시 중원구 산성대로 408번길 26-1
대원,파출소,대원파출소,경기도,성남시,중원구 둔촌대로 439,경기도 성남시 중원구 둔촌대로 439
상대원2,파출소,상대원2파출소,경기도,성남시,중원구 희망로 373,경기도 성남시 중원구 희망로 373
은행,파출소,은행파출소,경기도,성남시,중원구 은행로25번길 14,경기도 성남시 중원구 은행로25번길 14
도촌,파출소,도촌파출소,경기도,성남시,중원구 도촌북로 43,경기도 성남시 중원구 도촌북로 43
야탑,지구대,야탑지구대,경기도,성남시,분당구 야탑로 76,경기도 성남시 분당구 야탑로 76
서현,지구대,서현지구대,경기도,성남시,분당구 중앙공원로31번길 30,경기도 성남시 분당구 중앙공원로31번길 30
금곡,지구대,금곡지구대,경기도,성남시,분당구 성남대로171번길 12,경기도 성남시 분당구 성남대로171번길 12
서판교,파출소,서판교파출소,경기도,성남시,분당구 운중로146번길 6,경기도 성남시 분당구 운중로146번길 6
동판교,파출소,동판교파출소,경기도,성남시,분당구 동판교로266번길 24,경기도 성남시 분당구 동판교로266번길 24
수내,파출소,수내파출소,경기도,성남시,분당구 불정로 253,경기도 성남시 분당구 불정로 253
구미,파출소,구미파출소,경기도,성남시,분당구 구미로 107,경기도 성남시 분당구 구미로 107
송내,지구대,송내지구대,경기도,부천시,성주로 147,경기도 부천시 성주로 147
소사,지구대,소사지구대,경기도,부천시,경인로 363,경기도 부천시 경인로 363
범박,지구대,범박지구대,경기도,부천시,범안로 131,경기도 부천시 범안로 131
기동순찰대,기동순찰대,기동순찰대기동순찰대,경기도,부천시,원미구 조마루로311번길 84,경기도 부천시 원미구 조마루로311번길 84
중앙,지구대,중앙지구대,경기도,부천시,장말로 337,경기도 부천시 장말로 337
중동,지구대,중동지구대,경기도,부천시,석천로 203-16,경기도 부천시 석천로 203-16
상동,지구대,상동지구대,경기도,부천시,상일로 99,경기도 부천시 상일로 99
계남,지구대,계남지구대,경기도,부천시,조마루로 252,경기도 부천시 조마루로 252
원미,지구대,원미지구대,경기도,부천시,원미로 149번길 4,경기도 부천시 원미로 149번길 4
역곡,지구대,역곡지구대,경기도,부천시,부일로711번길 29,경기도 부천시 부일로711번길 29
약대,지구대,약대지구대,경기도,부천시,중동로 388번길 6,경기도 부천시 중동로 388번길 6
내동,지구대,내동지구대,경기도,부천시,오정구 신흥로 411(삼정동),경기도 부천시 오정구 신흥로 411(삼정동)
원종,지구대,원종지구대,경기도,부천시,오정구 소사로 778(원종동),경기도 부천시 오정구 소사로 778(원종동)
고강,파출소,고강파출소,경기도,부천시,오정구 역곡로 519(고강동),경기도 부천시 오정구 역곡로 519(고강동)
성곡,파출소,성곡파출소,경기도,부천시,오정구 삼작로352번길 42(여월동),경기도 부천시 오정구 삼작로352번길 42(여월동)
철산,지구대,철산지구대,경기도,광명시,"철산로29번길 16(철산동, 철산지구대)","경기도 광명시 철산로29번길 16(철산동, 철산지구대)"
하안,지구대,하안지구대,경기도,광명시,"범안로 1027(하안동,하안지구대)","경기도 광명시 범안로 1027(하안동,하안지구대)"
소하,지구대,소하지구대,경기도,광명시,"금하로 500(소하동, 소하지구대)","경기도 광명시 금하로 500(소하동, 소하지구대)"
광명,지구대,광명지구대,경기도,광명시,"오리로991번길 6(광명동, 광명지구대)","경기도 광명시 오리로991번길 6(광명동, 광명지구대)"
광남,지구대,광남지구대,경기도,광명시,"광명로 772(광명동, 광남지구대)","경기도 광명시 광명로 772(광명동, 광남지구대)"
일직,파출소,일직파출소,경기도,광명시,"서독로418(일직동,일직파출소)","경기도 광명시 서독로418(일직동,일직파출소)"
기동순찰대,기동순찰대,기동순찰대기동순찰대,경기도,안산시,단원구 화랑로 373,경기도 안산시 단원구 화랑로 373
고잔,파출소,고잔파출소,경기도,안산시,단원구 화랑로 397,경기도 안산시 단원구 화랑로 397
호수,지구대,호수지구대,경기도,안산시,단원구 광덕2로 127,경기도 안산시 단원구 광덕2로 127
와동,파출소,와동파출소,경기도,안산시,단원구 선부로 323,경기도 안산시 단원구 선부로 323
선부,파출소,선부파출소,경기도,안산시,단원구 선부광장1로 150,경기도 안산시 단원구 선부광장1로 150
선부2,파출소,선부2파출소,경기도,안산시,단원구 선여불로 19,경기도 안산시 단원구 선여불로 19
선부3,파출소,선부3파출소,경기도,안산시,단원구 선삼로 2길 14-20,경기도 안산시 단원구 선삼로 2길 14-20
원곡,파출소,원곡파출소,경기도,안산시,단원구 원곡공원로30,경기도 안산시 단원구 원곡공원로30
원선,파출소,원선파출소,경기도,안산시,단원구 원선로33,경기도 안산시 단원구 원선로33
공단,파출소,공단파출소,경기도,안산시,단원구 동산로 29,경기도 안산시 단원구 동산로 29
대부,파출소,대부파출소,경기도,안산시,단원구 대부중앙로 67,경기도 안산시 단원구 대부중앙로 67
신길,파출소,신길파출소,경기도,안산시,단원구 도일로 45,경기도 안산시 단원구 도일로 45
본오,지구대,본오지구대,경기도,안산시,상록구 상록수로 12,경기도 안산시 상록구 상록수로 12
사동,지구대,사동지구대,경기도,안산시,상록구 석호로 175,경기도 안산시 상록구 석호로 175
본오1,파출소,본오1파출소,경기도,안산시,상록구 샘골로 11,경기도 안산시 상록구 샘골로 11
부곡,파출소,부곡파출소,경기도,안산시,상록구 성호로 324,경기도 안산시 상록구 성호로 324
월피,파출소,월피파출소,경기도,안산시,상록구 안산천서로 215,경기도 안산시 상록구 안산천서로 215
성포,파출소,성포파출소,경기도,안산시,상록구 예술광장로 47,경기도 안산시 상록구 예술광장로 47
일동,파출소,일동파출소,경기도,안산시,상록구 호동로 118,경기도 안산시 상록구 호동로 118
이동,파출소,이동파출소,경기도,안산시,상록구 중보1길 35,경기도 안산시 상록구 중보1길 35
반월,파출소,반월파출소,경기도,안산시,상록구 건건로 47,경기도 안산시 상록구 건건로 47
팔곡,파출소,팔곡파출소,경기도,안산시,상록구 소학길 8,경기도 안산시 상록구 소학길 8
수암,파출소,수암파출소,경기도,안산시,상록구 수인로 2026,경기도 안산시 상록구 수인로 2026
장곡,지구대,장곡지구대,경기도,시흥시,장곡로 54번길 25-14,경기도 시흥시 장곡로 54번길 25-14
옥구,지구대,옥구지구대,경기도,시흥시,정왕대로 118번길 1,경기도 시흥시 정왕대로 118번길 1
정왕,지구대,정왕지구대,경기도,시흥시,정왕신길로 216,경기도 시흥시 정왕신길로 216
은행,지구대,은행지구대,경기도,시흥시,은행로 148,경기도 시흥시 은행로 148
군자,파출소,군자파출소,경기도,시흥시,군자로 513,경기도 시흥시 군자로 513
매화,파출소,매화파출소,경기도,시흥시,매화로 36,경기도 시흥시 매화로 36
신천,파출소,신천파출소,경기도,시흥시,신천로 100번 안길 15,경기도 시흥시 신천로 100번 안길 15
대야,파출소,대야파출소,경기도,시흥시,중심상가로 271,경기도 시흥시 중심상가로 271
시화,파출소,시화파출소,경기도,시흥시,중심상가로 271,경기도 시흥시 중심상가로 271
능곡,파출소,능곡파출소,경기도,시흥시,장현능곡로 211,경기도 시흥시 장현능곡로 211
목감,파출소,목감파출소,경기도,시흥시,목감우회로 17-6,경기도 시흥시 목감우회로 17-6
배곧,지구대,배곧지구대,경기도,시흥시,서울대학로 264번길 50,경기도 시흥시 서울대학로 264번길 50
기동순찰대,기동순찰대,기동순찰대기동순찰대,경기도,평택시,평택로 55,경기도 평택시 평택로 55
평택,지구대,평택지구대,경기도,평택시,중앙1로 23,경기도 평택시 중앙1로 23
서정,지구대,서정지구대,경기도,평택시,서정역로 34,경기도 평택시 서정역로 34
팽성,지구대,팽성지구대,경기도,평택시,팽성읍 동서촌로 93,경기도 평택시 팽성읍 동서촌로 93
진위,파출소,진위파출소,경기도,평택시,진위면 경기대로 1856,경기도 평택시 진위면 경기대로 1856
서탄,파출소,서탄파출소,경기도,평택시,서탄면 서탄로 280,경기도 평택시 서탄면 서탄로 280
포승,파출소,포승파출소,경기도,평택시,포승읍 서동대로 1150,경기도 평택시 포승읍 서동대로 1150
비전,지구대,비전지구대,경기도,평택시,평택5로 189,경기도 평택시 평택5로 189
고덕,지구대,고덕지구대,경기도,평택시,고덕면 고덕여염9길 3,경기도 평택시 고덕면 고덕여염9길 3
송탄,지구대,송탄지구대,경기도,평택시,탄현로 343,경기도 평택시 탄현로 343
안중,파출소,안중파출소,경기도,평택시,안중읍 현화중앙길 71,경기도 평택시 안중읍 현화중앙길 71
현덕,파출소,현덕파출소,경기도,평택시,현덕면 안현로 144,경기도 평택시 현덕면 안현로 144
청북,파출소,청북파출소,경기도,평택시,청북읍 청원로 45,경기도 평택시 청북읍 청원로 45
오성,파출소,오성파출소,경기도,평택시,오성면 숙성시장길 71,경기도 평택시 오성면 숙성시장길 71
만호,파출소,만호파출소,경기도,평택시,포승읍 평택항로 170,경기도 평택시 포승읍 평택항로 170
신장,파출소,신장파출소,경기도,평택시,신서로65,경기도 평택시 신서로65
용이,파출소,용이파출소,경기도,평택시,현신4길 8,경기도 평택시 현신4길 8
오산,지구대,오산지구대,경기도,오산시,운암로 11,경기도 오산시 운암로 11
궐동,지구대,궐동지구대,경기도,오산시,오산로 371,경기도 오산시 오산로 371
중앙,파출소,중앙파출소,경기도,오산시,오산로 221,경기도 오산시 오산로 221
세교,지구대,세교지구대,경기도,오산시,세마역로 5,경기도 오산시 세마역로 5
남양,파출소,남양파출소,경기도,화성시,남양시장로 47,경기도 화성시 남양시장로 47
발안,지구대,발안지구대,경기도,화성시,3.1만세로 1095,경기도 화성시 3.1만세로 1095
봉담,지구대,봉담지구대,경기도,화성시,봉담읍 와우로 15번길 17,경기도 화성시 봉담읍 와우로 15번길 17
매송,파출소,매송파출소,경기도,화성시,매송면 화성로 2249,경기도 화성시 매송면 화성로 2249
송산,파출소,송산파출소,경기도,화성시,송산포도로 98,경기도 화성시 송산포도로 98
서신,파출소,서신파출소,경기도,화성시,서신면 매화1길31,경기도 화성시 서신면 매화1길31
우정,파출소,우정파출소,경기도,화성시,우정읍 조암남로 31,경기도 화성시 우정읍 조암남로 31
팔탄,파출소,팔탄파출소,경기도,화성시,팔탄면 서촌길 9,경기도 화성시 팔탄면 서촌길 9
비봉,파출소,비봉파출소,경기도,화성시,비봉면 양노로 56,경기도 화성시 비봉면 양노로 56
마도,파출소,마도파출소,경기도,화성시,마도면 석교로 179,경기도 화성시 마도면 석교로 179
양감,파출소,양감파출소,경기도,화성시,양감면 은행나무로 263,경기도 화성시 양감면 은행나무로 263
태안,지구대,태안지구대,경기도,화성시,떡전골로 112-2,경기도 화성시 떡전골로 112-2
동탄,지구대,동탄지구대,경기도,화성시,노작로 226-1,경기도 화성시 노작로 226-1
정남,파출소,정남파출소,경기도,화성시,정남면 만년로 582,경기도 화성시 정남면 만년로 582
안용,파출소,안용파출소,경기도,화성시,용주로 32번길 4,경기도 화성시 용주로 32번길 4
동탄2,지구대,동탄2지구대,경기도,화성시,동탄영천로 70,경기도 화성시 동탄영천로 70
반월,파출소,반월파출소,경기도,화성시,영통로 27번길 25-19,경기도 화성시 영통로 27번길 25-19
동탄3,지구대,동탄3지구대,경기도,화성시,왕배산길 6,경기도 화성시 왕배산길 6
중앙,지구대,중앙지구대,경기도,용인시,처인구 금령로 18,경기도 용인시 처인구 금령로 18
구갈,지구대,구갈지구대,경기도,용인시,기흥구 관곡로 41,경기도 용인시 기흥구 관곡로 41
흥덕,파출소,흥덕파출소,경기도,용인시,기흥구 흥덕2로 8번길 1,경기도 용인시 기흥구 흥덕2로 8번길 1
상갈,파출소,상갈파출소,경기도,용인시,기흥구 중부대로 380,경기도 용인시 기흥구 중부대로 380
동백,지구대,동백지구대,경기도,용인시,기흥구 동백6로 37,경기도 용인시 기흥구 동백6로 37
고매,파출소,고매파출소,경기도,용인시,기흥구 동탄기흥로 715,경기도 용인시 기흥구 동탄기흥로 715
동부,파출소,동부파출소,경기도,용인시,처인구 경안천로 16,경기도 용인시 처인구 경안천로 16
포곡,파출소,포곡파출소,경기도,용인시,처인구 포곡로 278번길 3,경기도 용인시 처인구 포곡로 278번길 3
모현,파출소,모현파출소,경기도,용인시,처인구 모현읍 독점로 31-6,경기도 용인시 처인구 모현읍 독점로 31-6
양지,파출소,양지파출소,경기도,용인시,처인구 양지로 165,경기도 용인시 처인구 양지로 165
백암,파출소,백암파출소,경기도,용인시,처인구 백암로 201번길 9,경기도 용인시 처인구 백암로 201번길 9
원삼,파출소,원삼파출소,경기도,용인시,처인구 원삼면 고당로 15번길 1,경기도 용인시 처인구 원삼면 고당로 15번길 1
이동,파출소,이동파출소,경기도,용인시,처인구 이동면 경기동로 688,경기도 용인시 처인구 이동면 경기동로 688
남사,파출소,남사파출소,경기도,용인시,처인구 남사면 처인성로 185번길 13,경기도 용인시 처인구 남사면 처인성로 185번길 13
보라,파출소,보라파출소,경기도,용인시,기흥구 한보라 1로 42-3,경기도 용인시 기흥구 한보라 1로 42-3
서천,파출소,서천파출소,경기도,용인시,기흥구 서천로 117번길 1,경기도 용인시 기흥구 서천로 117번길 1
수지,지구대,수지지구대,경기도,용인시,수지구 풍덕천로190번길 18,경기도 용인시 수지구 풍덕천로190번길 18
보정,지구대,보정지구대,경기도,용인시,기흥구 보정로 110,경기도 용인시 기흥구 보정로 110
상현,지구대,상현지구대,경기도,용인시,수지구 심곡로 7,경기도 용인시 수지구 심곡로 7
구성,파출소,구성파출소,경기도,용인시,기흥구 구성로 68,경기도 용인시 기흥구 구성로 68
신봉,파출소,신봉파출소,경기도,용인시,수지구 수지로 195,경기도 용인시 수지구 수지로 195
죽전,지구대,죽전지구대,경기도,용인시,수지구 현암로 22,경기도 용인시 수지구 현암로 22
곤지암,파출소,곤지암파출소,경기도,광주시,곤지암읍 곤지암로 38,경기도 광주시 곤지암읍 곤지암로 38
도척,파출소,도척파출소,경기도,광주시,도척면 도척로 603,경기도 광주시 도척면 도척로 603
경안,지구대,경안지구대,경기도,광주시,중앙로 137,경기도 광주시 중앙로 137
남한산성,파출소,남한산성파출소,경기도,광주시,중부면 남한산성로 757,경기도 광주시 중부면 남한산성로 757
초월,파출소,초월파출소,경기도,광주시,초월읍 경충대로 1243,경기도 광주시 초월읍 경충대로 1243
오포동부,파출소,오포동부파출소,경기도,광주시,오포읍 오포로 869,경기도 광주시 오포읍 오포로 869
퇴촌,파출소,퇴촌파출소,경기도,광주시,퇴촌면 광동로 45,경기도 광주시 퇴촌면 광동로 45
태전,파출소,태전파출소,경기도,광주시,태봉로 46,경기도 광주시 태봉로 46
오포서부,파출소,오포서부파출소,경기도,광주시,오포읍 오포로171번길 3,경기도 광주시 오포읍 오포로171번길 3
사우,지구대,사우지구대,경기도,김포시,사우중로 35-5,경기도 김포시 사우중로 35-5
장기,지구대,장기지구대,경기도,김포시,청송로 36,경기도 김포시 청송로 36
양촌,파출소,양촌파출소,경기도,김포시,양곡1로 68번길 3,경기도 김포시 양곡1로 68번길 3
통진,파출소,통진파출소,경기도,김포시,통진읍 조강로 83,경기도 김포시 통진읍 조강로 83
고촌,파출소,고촌파출소,경기도,김포시,고촌읍 신곡리 1250-1,경기도 김포시 고촌읍 신곡리 1250-1
대곶,파출소,대곶파출소,경기도,김포시,대곶면 율생로 72,경기도 김포시 대곶면 율생로 72
월곶,파출소,월곶파출소,경기도,김포시,월곶면 군하로 276번길 13,경기도 김포시 월곶면 군하로 276번길 13
하성,파출소,하성파출소,경기도,김포시,하성면 애기봉로 847,경기도 김포시 하성면 애기봉로 847
김포T,파출소,김포T파출소,경기도,김포시,고촌읍 아라육로152번길 56,경기도 김포시 고촌읍 아라육로152번길 56
풍무,파출소,풍무파출소,경기도,김포시,풍무동 154-6(풍무2지구),경기도 김포시 풍무동 154-6(풍무2지구)
마산,지구대,마산지구대,경기도,김포시,김포한강8로 176(마산동),경기도 김포시 김포한강8로 176(마산동)
운양,지구대,운양지구대,경기도,김포시,운양동 1421-1,경기도 김포시 운양동 1421-1
하남,지구대,하남지구대,경기도,하남시,신장로 66,경기도 하남시 신장로 66
덕풍,지구대,덕풍지구대,경기도,하남시,덕풍로81번길 13,경기도 하남시 덕풍로81번길 13
미사,지구대,미사지구대,경기도,하남시,아리수로 567,경기도 하남시 아리수로 567
창우,파출소,창우파출소,경기도,하남시,대청로 114,경기도 하남시 대청로 114
하남위례,파출소,하남위례파출소,경기도,하남시,위례학암로14번길 20,경기도 하남시 위례학암로14번길 20
서부,파출소,서부파출소,경기도,하남시,감북로 43,경기도 하남시 감북로 43
과천,지구대,과천지구대,경기도,과천시,관문로 135,경기도 과천시 관문로 135
별양,지구대,별양지구대,경기도,과천시,별양로 58,경기도 과천시 별양로 58
의왕,지구대,의왕지구대,경기도,의왕시,경수대로 352,경기도 의왕시 경수대로 352
청계,파출소,청계파출소,경기도,의왕시,안양판교로 227,경기도 의왕시 안양판교로 227
부곡,파출소,부곡파출소,경기도,의왕시,한백이길 3,경기도 의왕시 한백이길 3
내손,지구대,내손지구대,경기도,의왕시,갈미로 77,경기도 의왕시 갈미로 77
창전,지구대,창전지구대,경기도,이천시,영창로 171,경기도 이천시 영창로 171
아미,파출소,아미파출소,경기도,이천시,부발읍 경충대로 2154,경기도 이천시 부발읍 경충대로 2154
장호원,파출소,장호원파출소,경기도,이천시,장호원읍 장감로 70,경기도 이천시 장호원읍 장감로 70
부발,파출소,부발파출소,경기도,이천시,부발읍 무촌로 167-5,경기도 이천시 부발읍 무촌로 167-5
대월,파출소,대월파출소,경기도,이천시,대월로803번길 64,경기도 이천시 대월로803번길 64
마장,파출소,마장파출소,경기도,이천시,마장면 오천로 101,경기도 이천시 마장면 오천로 101
신둔,파출소,신둔파출소,경기도,이천시,신둔면 경충대로 3162,경기도 이천시 신둔면 경충대로 3162
모가,파출소,모가파출소,경기도,이천시,모가면 진상미로 1305,경기도 이천시 모가면 진상미로 1305
백사,파출소,백사파출소,경기도,이천시,백사면 현방로 62,경기도 이천시 백사면 현방로 62
설성,파출소,설성파출소,경기도,이천시,설성면 설장로 17번길 6-1,경기도 이천시 설성면 설장로 17번길 6-1
호법,파출소,호법파출소,경기도,이천시,호법면 이섭대천로 547,경기도 이천시 호법면 이섭대천로 547
율면,파출소,율면파출소,경기도,이천시,율면 고당로 144,경기도 이천시 율면 고당로 144
증포,지구대,증포지구대,경기도,이천시,증포동 갈산로 19,경기도 이천시 증포동 갈산로 19
중앙,지구대,중앙지구대,경기도,안성시,석정1길 15,경기도 안성시 석정1길 15
공도,지구대,공도지구대,경기도,안성시,공도읍 공도4로 4,경기도 안성시 공도읍 공도4로 4
대덕,파출소,대덕파출소,경기도,안성시,대덕면 중앙로 78,경기도 안성시 대덕면 중앙로 78
