County,City,Town,Address,Store_Name,Store_Type,Latitude,Longitude
서울특별시,강남구,신사동,510-11 강남상가아파트,이마트에브리데이 강남시장점,구분없음,37.5187768,127.0206947
경기도,안양시,동안구,비산동 515-2 평촌자이아이파크 상가2동 부출입구 1층 101~103호,GS THE FRESH 안양비산점,구분없음,37.4043735,126.9338286
경상남도,창원시,진해구,경화동 1174-3,탑마트 진해경화점,그 밖의 대규모점포,35.1535956,128.6822845
서울특별시,서대문구,남가좌동,50-3 명지대학교,이마트에브리데이 명지대점,구분없음,37.5802367,126.9231244
부산광역시,동래구,사직동,1017 사직 쌍용 예가,GS THE FRESH 사직쌍용점,구분없음,35.1966168,129.0556206
경기도,용인시,처인구,양지면 양지리 112,세영산업주식회사,전문점,37.2338372,127.2967933
서울특별시,관악구,봉천동,1717-3 관악푸르지오,지에스 더 프레시(GS THE FRESH) 관악청림점,구분없음,37.4875918,126.9599070
충청남도,서산시,잠홍동,568,충서원예농협 하나로마트,대형마트,36.7866707,126.4732961
서울특별시,구로구,고척동,100-7,고척아이파크쇼핑센터,쇼핑센터,37.4985426,126.8591765
서울특별시,노원구,중계동,160-1 기업은행,(주)이마트에브리데이 상계역점,구분없음,37.6591780,127.0757791
부산광역시,동구,범일2동,290번지 3호,사단법인 부산남문시장번영회,그 밖의 대규모점포,35.1362089,129.0587077
경기도,수원시,권선구,서둔동 296-124,홈씨씨 수원점,전문점,37.2662794,126.9971020
경상남도,창원시,마산합포구,월영동 738 마린애시앙부영,(주)이마트에브리데이 월영마린애시앙점,그 밖의 대규모점포,35.1742379,128.5646018
대전광역시,중구,오류동,175-3,(주) 농협유통 하나로마트 오룡점,구분없음,36.3259184,127.4077734
경기도,과천시,별양동,52,GS THE FRESH 과천자이점,그 밖의 대규모점포,37.4282745,126.9986734
서울특별시,영등포구,신길동,4902-6,GS THE FRESH 신길사러가점,구분없음,37.5066851,126.9115558
서울특별시,서대문구,홍은동,400-12,롯데프레시 홍은점,구분없음,37.5815959,126.9265207
서울특별시,서대문구,창천동,506-20 아륭빌딩,롯데슈퍼 창천점,구분없음,37.5585256,126.9286331
서울특별시,서대문구,남가좌동,381 DMC센트레빌,롯데슈퍼 남가좌점,구분없음,37.5759823,126.9156631
경기도,평택시,장당동,154-2,평택프리미엄아울렛,전문점,37.0338375,127.0691430
울산광역시,북구,진장동,1048-3,삼성전자 판매 북울산본점,전문점,35.5765216,129.3555796
경기도,용인시,처인구,고림동 599-8,정동마트,대형마트,37.2495441,127.2232912
전북특별자치도,전주시,덕진구,송천동2가 488-3,파인트리몰,그 밖의 대규모점포,35.8673600,127.1209090
서울특별시,중랑구,신내동,646 금강리빙스텔,롯데프레시앤델리 봉화산역점,그 밖의 대규모점포,37.6163279,127.0926931
경기도,안양시,동안구,관양동 1677,(주)이마트에브리데이 안양관양점,구분없음,37.4101840,126.9670452
울산광역시,북구,진장동,1048-1,진장 회 수산센터,그 밖의 대규모점포,35.5771410,129.3551957
경기도,광주시,경안동,447,광주 금호 리첸시아 센트럴 스퀘어,그 밖의 대규모점포,37.4082439,127.2562560
경상북도,경산시,하양읍,양지리 262,(주)이마트에브리데이 경산무학점,그 밖의 대규모점포,35.9192230,128.8086908
부산광역시,금정구,부곡동,225-58 골든웨딩프라자예식장,(주)지에스리테일 부산금정점,구분없음,35.2374060,129.0895473
경기도,시흥시,배곧동,191 시흥배곧 C1 호반 써밋플레이스,홈플러스 익스프레스 시흥배곧점,구분없음,37.3707452,126.7273430
경기도,안양시,동안구,호계동 873 덕유파크,GS THE FRESH 안양호계점,구분없음,37.3622781,126.9625115
경상남도,창원시,성산구,성주동 100 더 스퀘어,(주)이마트에브리데이 창원더스퀘어점,구분없음,35.2038448,128.7116559
경기도,수원시,장안구,정자동 111-20 화서역 파크푸르지오,GS THE FRESH 수원화서점,구분없음,37.2898229,126.9947011
서울특별시,동대문구,이문동,292번지 10호,이마트에브리데이 이문점,복합쇼핑몰,37.5975955,127.0611378
서울특별시,양천구,신정동,995-2,(주)이마트에브리데이 목동역점,구분없음,37.5248384,126.8642146
서울특별시,서대문구,홍은동,11-419,이마트에브리데이 홍은점,구분없음,37.5990497,126.9473378
제주특별자치도,제주시,노형동,925 제주 드림타워 복합리조트,제주드림타워,그 밖의 대규모점포,33.4853200,126.4814666
전북특별자치도,전주시,덕진구,송천동2가 1329-1 로마네시티,로마네시티,그 밖의 대규모점포,35.8730644,127.1246375
서울특별시,서대문구,남가좌동,390 래미안 루센티아,GS THE FRESH 남가좌디엠씨점,구분없음,37.5761394,126.9174948
서울특별시,중구,남대문로2가,9-1,센터포인트 명동,쇼핑센터,37.5646622,126.9827025
전북특별자치도,임실군,임실읍,이도리 236-13,(주)이마트에브리데이 전북임실점,복합쇼핑몰,35.6144915,127.2843726
