시도,구분,주소,연간_임대료(원),면적(㎡),지목
경기도,임대-공공임대용,경기도 여주시 북내면 가정리 65-1,"389,700","2,165",전
경기도,임대-공공임대용,경기도 여주시 북내면 가정리 65-2,"208,800","1,160",전
경기도,임대-수탁,경기도 여주시 북내면 서원리 350-5,"270,000","1,195.90",전
경기도,임대-수탁,경기도 여주시 우만동 80-1,"426,000","1,825",답
경기도,임대-수탁,경기도 여주시 천송동 273-2,"160,000",552,전
경기도,임대-수탁,경기도 여주시 천송동 273-1,"270,000",959,전
경기도,임대-수탁,경기도 여주시 천송동 42-2,"770,000","2,691",전
경기도,임대-수탁,경기도 연천군 군남면 삼거리 1190,"480,000","2,376.30",답
경기도,임대-수탁,경기도 연천군 군남면 삼거리 543-3,"20,000",76,답
경기도,임대-수탁,경기도 연천군 군남면 삼거리 543-2,"200,000",955,답
경기도,임대-수탁,경기도 연천군 군남면 삼거리 1189,"450,000","2,201.40",답
경기도,임대-수탁,경기도 연천군 군남면 진상리 258-3,"100,000",585,전
경기도,임대-수탁,경기도 연천군 군남면 진상리 239,"400,000","3,312",전
경기도,매도-수탁,경기도 연천군 백학면 노곡리 1066,"140,000,000","2,911",답
경기도,매도-수탁,경기도 연천군 백학면 노곡리 1067-1,"19,000,000",400,답
경기도,임대-수탁,경기도 연천군 백학면 석장리 159,"280,000","3,183",답
경기도,임대-수탁,경기도 연천군 신서면 답곡리 1346,"400,000","6,060",전
경기도,임대-수탁,경기도 연천군 신서면 도밀리 964,"230,000","2,555",답
경기도,임대-수탁,경기도 연천군 신서면 도밀리 564,"180,000","2,069",전
경기도,임대-수탁,경기도 연천군 신서면 도밀리 562,"190,000","2,109",전
경기도,매도-수탁,경기도 연천군 연천읍 와초리 375-1,"240,000,000","4,453",전
경기도,임대-수탁,경기도 연천군 왕징면 강내리 155,"150,000","1,453",전
경기도,임대-수탁,경기도 연천군 왕징면 작동리 121,"1,700,000","2,456",과수원
경기도,임대-수탁,경기도 연천군 왕징면 작동리 120,"4,080,000","5,893",과수원
경기도,임대-수탁,경기도 연천군 왕징면 작동리 85,"650,000",945,과수원
경기도,임대-수탁,경기도 연천군 왕징면 작동리 122,"3,570,000","5,164",과수원
