Office_Name,Units_Num,County,City,Town,Address,Latitude,Longitude
북부임대사업소,116.0,경상북도,포항시,북구,흥해읍 매산리 16-1번지,36.113466,129.3050403
서부임대사업소,73.0,경상북도,포항시,북구,기계면 인비리 784번지,36.0841358,129.1568775
동부임대사업소,44.0,경상북도,포항시,남구,호미곶면 해맞이로167번길 7,36.0767709,129.5622466
순천시농업기술센터 북부 농기계임대사업소,92.0,전라남도,순천시,승주읍,유흥리 104,35.0307153,127.3484796
순천시농업기술센터 남부 농기계임대사업소,95.0,전라남도,순천시,덕월동,377,34.9303843,127.491419
순천시농업기술센터 서부 농기계임대사업소,61.0,전라남도,순천시,외서면,화전리 98,34.9084763,127.2801521
정선군농업기계임대사업소,178.0,강원특별자치도,정선군,북평면,남평리 412-1,37.430187,128.664854
농기계임대사업소 본소,159.0,충청북도,단양군,단양읍,별곡리 310,36.9853224,128.3669716
농기계임대사업소 북부지소,160.0,충청북도,단양군,가곡면,향산리 552,37.0607938,128.420399
농기계임대사업소 남부지소,91.0,충청북도,단양군,단성면,중방리 414,36.9372486,128.3143508
농기계임대사업소 중부지소,91.0,충청북도,단양군,매포읍,우덕리 893,37.0149724,128.3026911
농기계임대사업소 북부분소,205.0,전북특별자치도,김제시,공덕면,황산리 1502-1,35.8755324,126.9378687
북도면 농기계임대사업소,78.0,인천광역시,옹진군,북도면,시도리 277-7,37.5337685,126.4303352
북도면 농기계임대사업소 장봉분소,56.0,인천광역시,옹진군,북도면,장봉리 546-3,37.5441829,126.3335429
연평면 농기계임대사업소,38.0,인천광역시,옹진군,연평면,연평리 493-5,37.6590196,125.6978294
백령면 농기계임대사업소,174.0,인천광역시,옹진군,백령면,남포리 1774-7,37.9454513,124.6741182
북부분소,132.0,경상북도,상주시,이안면,양범리 87-3,36.5820267,128.1423261
화령분소,134.0,경상북도,상주시,화서면,달천리 23,36.4426154,127.9420269
영덕군농업기술센터 농기계임대사업소 본소,78.0,경상북도,영덕군,영덕읍,구미리 70,36.4352029,129.3575566
영덕군농업기술센터 농기계임대사업소 북부분소,75.0,경상북도,영덕군,영해면,벌영리 563-2,36.5424895,129.3961376
구례군농업기계임대사업소본소,179.0,전라남도,구례군,구례읍,봉서리 895-2,35.1958259,127.4600671
구례군농업기계임대사업소분소,51.0,전라남도,구례군,용방면,용강리 424-15,35.2402,127.4418376
증평군 농업기술센터,241.0,충청북도,증평군,증평읍,사곡리 316,36.7816409,127.6121967
대구광역시농기계임대사업소,92.0,대구광역시,동구,지저동,886-43,35.9078774,128.6467893
농기계임대사업소 본소,97.0,경상북도,청도군,청도읍,원정리 777-2,35.6478058,128.7638158
농기계임대사업소 산서분소,124.0,경상북도,청도군,풍각면,송서리 300,35.6401914,128.628472
공주시농업기계임대사업소(본소),279.0,충청남도,공주시,우성면,도천리 1-2,36.493254,127.0991888
고흥군농업기계임대사업소,123.0,전라남도,고흥군,풍양면,율치리 1506,34.5661638,127.2583264
농기계임대사업소 서부분소,221.0,전북특별자치도,김제시,만경읍,만경리 508-1,35.8509537,126.8150207
농업기계임대사업소,42.0,부산광역시,강서구,대저1동,2426-2,35.2131278,128.9865047
농기계임대사업소(봉성),256.0,경상북도,봉화군,봉성면,다덕로 374-47,36.9055325,128.7766823
강릉시농업기술센터 농업기계임대사업소 본소,279.0,강원도,강릉시,사천면,미노리 440-1,37.818327,128.8540643
강릉시농업기술센터 농업기계임대사업소 남부지소,125.0,강원도,강릉시,유산동,286-3,37.7334733,128.9135213
강릉시농업기술센터 농업기계임대사업소 서부지소,121.0,강원도,강릉시,성산면,금산리 1044,37.7386358,128.8543189
여주시농업기술센터 농기계임대은행,321.0,경기도,여주시,상거동,5-5,37.2538989,127.6375308
이천시 농기계임대사업소,165.0,경기도,이천시,모가면,어농리 615-7,37.1753553,127.4398688
이천시 농기계임대사업소(남부분소),104.0,경기도,이천시,장호원읍,진암리 328-5,37.1207249,127.6114043
문경시 농업기계임대사업소 본점,154.0,경상북도,문경시,흥덕동,729-69,36.614167,128.2086985
문경시 농업기계임대사업소 서부지점,109.0,경상북도,문경시,마성면,외어리 750,36.6951393,128.1288656
문경시 농업기계임대사업소 동부지점,106.0,경상북도,문경시,산북면,대상리 256,36.6488423,128.2528614
남부임대사업소,94.0,경상북도,포항시,남구,오천읍 문덕리 51-6번지,35.9617607,129.4139146
용인시 농업기술센터 농업기계임대사업소,148.0,경기도,용인시,처인구,원삼면 사암리 858-1,37.1729071,127.2990036
농업기술센터,80.0,경상남도,사천시,용현면,진삼로 902,35.0375261,128.0672989
양양군농업기술센터 본소,101.0,강원특별자치도,양양군,손양면,송현리 662-3,38.0678385,128.6426728
양양군농업기술센터 남부지소,58.0,강원특별자치도,양양군,현남면,두리 159-2,37.9755769,128.7467806
양양군농업기술센터 북부지소,38.0,강원특별자치도,양양군,강현면,정암리 561-1,38.1481843,128.5976769
해남군농업기술센터 본소농기계임대사업소,152.0,전라남도,해남군,해남읍,용정리 305-1,34.562744,126.585959
해남군농업기술센터 동부농기계임대사업소,80.0,전라남도,해남군,옥천면,신계리 791-1,34.6092461,126.6307287
상서농기계임대사업소(본소),313.0,전북특별자치도,부안군,상서면,통정리 380-3,35.7100991,126.6597006
남부권 농기계임대사업소,220.0,전북특별자치도,부안군,보안면,영전리 390-4,35.6122536,126.6716253
동부권 농기계임대사업소,271.0,전북특별자치도,부안군,동진면,하장리 1096,35.7278987,126.7762138
농업기계 임대사업장,339.0,경상북도,칠곡군,약목면,동안리 831,36.0397948,128.3821472
농기계임대사업 본소,145.0,강원특별자치도,고성군,간성읍,신안리 390,38.3859113,128.4739975
농기계임대사업 남부지소,154.0,강원특별자치도,고성군,토성면,천금길 144,38.2715101,128.5469982
농기계임대사업 북부지소,144.0,강원특별자치도,고성군,현내면,화진포서길 146,38.4726665,128.4222597
동부권,80.0,경상남도,하동군,북천면,직전리 556-10,35.1153053,127.8919371
남부권,92.0,경상남도,하동군,고전면,고하리 154-1,35.0233937,127.8372702
상주시농업기술센터 본소,440.0,경상북도,상주시,초산동,720-1,36.4539632,128.167667
동부분소,151.0,경상북도,상주시,낙동면,신상리 466,36.4047525,128.2381381
서부분소,99.0,경상북도,상주시,모서면,삼포리 350-2,36.33815,127.9627462
남부분소,100.0,경상북도,상주시,공성면,평천리 631,36.2903642,128.0996031
농업기계 임대사업소 옥천분소,134.0,충청북도,옥천군,옥천읍,매화리 236-5,36.2996969,127.5958208
농업기계 임대사업소 청산분소,124.0,충청북도,옥천군,청산면,지전리 343,36.3448865,127.7859875
농업기계 임대사업소 안남분소,81.0,충청북도,옥천군,안남면,화학리 630-1,36.3775421,127.6682455
아산시농업기술센터 농업기계임대사업소,467.0,충청남도,아산시,염치읍,염성리 186-1,36.8157789,126.9779957
농기계임대사업소,459.0,경상북도,예천군,예천읍,생천리 721-25,36.6767636,128.4626437
남부농기계임대사업소,111.0,경상북도,예천군,풍양면,낙상리 205,36.5097086,128.3026778
의성군농업기술센터(본소),105.0,경상북도,의성군,봉양면,분토리 928,36.3226906,128.6457361
정읍시 농기계임대사업소 동부,98.0,전북특별자치도,정읍시,옹동면,비봉리 1667-7,35.6170794,126.9861358
동송임대사업소(본소),213.0,강원도,철원군,동송읍,장흥리 846,38.2030349,127.250895
김화임대사업소(분소),272.0,강원도,철원군,서면,와수리 580-1,38.2463615,127.4294425
갈말임대사업소(분소),191.0,강원도,철원군,문혜리,623-3,38.1864279,127.323757
북부농기임대사업소(분소),121.0,강원도,철원군,동송읍,대위리 520,38.2454792,127.2360472
동부농기계임대사업소,55.0,전북특별자치도,완주군,소양면,명덕리 361-1,35.8673494,127.2124995
서부농기계임대사업소,167.0,전북특별자치도,완주군,삼례읍,신금리 937-2,35.9181431,127.0954471
남부농기계임대사업소,77.0,전북특별자치도,완주군,구이면,원기리 583-1,35.7315453,127.1193032
농기계임대사업소(춘양),69.0,경상북도,봉화군,춘양면,춘양로 214,36.9405118,128.9189209
농기계임대사업소(명호),79.0,경상북도,봉화군,명호면,봉명로 1369,36.8625314,128.8846654
신북읍사무소,4.0,강원특별자치도,춘천시,신북읍,율문리 293-1,37.9257263,127.7461556
동면사무소,16.0,강원특별자치도,춘천시,동면,지내리 209-15,37.9103517,127.7812451
동산면사무소,35.0,강원특별자치도,춘천시,동산면,조양리 363-4,37.7522053,127.7963489
동내면사무소,17.0,강원특별자치도,춘천시,동내면,신촌리 583-1,37.8479057,127.7609384
남면사무소,31.0,강원특별자치도,춘천시,남면,발산리 693,37.7319425,127.5996343
나주시농기계임대사업소,953.0,전라남도,나주시,동수동,144-21,34.9780536,126.6823461
공주시농업기계임대사업소(북부지소),106.0,충청남도,공주시,신풍면,산정리 336-1,36.5186851,126.9548126
공주시농업기계임대사업소(남부지소),159.0,충청남도,공주시,이인면,반송리 421-12,36.3519826,127.0962098
경상북도 경산시 농정유통과 농기계팀 농기계임대사업소 본소(자인면),189.0,경상북도,경산시,자인면,북사리 514-2,35.8171444,128.8126956
경상북도 경산시 농정유통과 농기계팀 농기계임대사업소 지소(자인면),82.0,경상북도,경산시,하양읍,한사리 1160,35.925789,128.8332783
농기계임대사업소,199.0,충청남도,서천군,마서면,계동리 88-10,36.062287,126.7065083
세종시농기계임대사업소,486.0,세종특별자치시,연서면,쌍전리,667,36.5731797,127.2820778
무안군농업기술센터농기계임대사업소-일로분소,89.0,전라남도,무안군,일로읍,용산리 1363,34.8523422,126.5073418
무안군농업기술센터농기계임대사업소-해제분소,98.0,전라남도,무안군,해제면,신정리 124-1,35.1112494,126.2910857
함양군농기계임대사업소(남부권),54.0,경상남도,함양군,휴천면,남호리 372,35.4385006,127.7652733
함양군농기계임대사업소(서부권),50.0,경상남도,함양군,백전면,경백리 507,35.5338268,127.6560572
거창군농기계임대사업소(본소),316.0,경상남도,거창군,거창읍,대평리 1359-19,35.6780195,127.9227599
북부권역 농기계임대사업소,122.0,경상남도,거창군,주상면,도평리 461-3,35.7569972,127.916821
수승대권역 농기계임대사업소,116.0,경상남도,거창군,위천면,장기리 269-9,35.751459,127.8351681
동부권역 농기계임대사업소,147.0,경상남도,거창군,가조면,장기리 1569,35.715681,128.0001829
남부권역 농기계임대사업소,96.0,경상남도,거창군,신원면,과정리 967,35.56295,127.9255051
농기계임대사업소(본소),83.0,경상북도,성주군,대가면,옥성리 197,35.9151668,128.2525888
농기계임대사업소(서부분소),72.0,경상북도,성주군,수륜면,수성리 184,35.8681779,128.1830718
장성군농업기술센터농기계임대사업소,163.0,전라남도,장성군,장성읍,유탕리 1391-1,35.3208474,126.8028137
장성군농업기술센터농기계임대사업소 서부분소,126.0,전라남도,장성군,삼계면,사창리 427-1,35.2569569,126.659513
장성군농업기술센터농기계임대사업소 북부분소,95.0,전라남도,장성군,북이면,사거리 787-32,35.4306373,126.8056097
파주시 농업기술센터 본소,142.0,경기도,파주시,월롱면,영태리 379-2,37.76509,126.7961972
파주시 농업기술센터 북부지소,189.0,경기도,파주시,파평면,덕천리 479-2,37.9353693,126.8654616
본소농기계임대사업소,276.0,전북특별자치도,완주군,고산면,삼기리 945-70,35.984128,127.2202927
영광군농기계임대사업소 남부분소,214.0,전라남도,영광군,군남면,설매리 1434-1,35.2401121,126.4301637
제주농업기술센터,85.0,제주특별자치도,제주시,애월읍,상귀길 173,33.4581346,126.403875
서귀포농업기술센터,21.0,제주특별자치도,서귀포시,남원읍,중산간동로 7413,33.2883077,126.6072409
동부농업기술센터,133.0,제주특별자치도,제주시,구좌읍,충렬로 166,33.510945,126.842683
동부농업기술센터 분소,63.0,제주특별자치도,서귀포시,표선면,서성일로 138,33.4007399,126.808955
서부농업기술센터,75.0,제주특별자치도,제주시,한림읍,월림7길 90,33.3534662,126.2476976
청양군농업기술센터농기계임대사업소,279.0,충청남도,청양군,청양읍,정좌리 455,36.42323,126.779393
청양군농업기술센터농기계임대사업소(동부지소),278.0,충청남도,청양군,정산면,서정리 221,36.4083502,126.9463975
