School_Name,School_Type,County,City,Town,Address,Latitude,Longitude
신광초등학교,초등학교,제주특별자치도,제주시,연동,1996-5,33.49206857,126.4836685
전주신성초등학교,초등학교,전북특별자치도,전주시,완산구,평화동2가 229,35.7898653,127.1338498
부천신흥초등학교,초등학교,경기도,부천시,원미구,도당동 265-2,37.50640474,126.7847155
서울세검정초등학교,초등학교,서울특별시,종로구,신영동,219-4,37.60346883,126.960939
홍천초등학교,초등학교,강원특별자치도,홍천군,홍천읍,희망리 313,37.69250906,127.883816
역동초등학교,초등학교,경기도,광주시,역동,249,37.39835953,127.247361
하양초등학교,초등학교,경상북도,경산시,하양읍,금락리 133-2,35.91296227,128.8195828
민안초등학교,초등학교,부산광역시,수영구,민락동,551-12,35.16306608,129.1212164
내대초등학교,초등학교,강원특별자치도,철원군,갈말읍,내대리 156-2 번지,38.20592384,127.297469
원동초등학교,초등학교,경상남도,양산시,원동면,원리 951,35.36442757,128.9226636
제주남초등학교,초등학교,제주특별자치도,제주시,삼도이동,811-1,33.50996313,126.5211755
성주초등학교,초등학교,충청남도,보령시,성주면,성주리 117,36.3418082,126.6539728
아인초등학교,초등학교,경기도,화성시,청계동,515,37.200839,127.1052936
상일초등학교,초등학교,경기도,부천시,원미구,상동 550-5,37.50180265,126.750488
삼화초등학교,초등학교,제주특별자치도,제주시,화북일동,1012-2,33.51522409,126.577005
성산초등학교,초등학교,경상남도,양산시,물금읍,범어리 2712-6,35.330218,129.0176657
낙서초등학교,초등학교,경상남도,의령군,낙서면,정곡리 167-2,35.48174334,128.4138517
율포초등학교,초등학교,경기도,평택시,고덕동,2620-4,37.04254108,127.0433697
진천상신초등학교,초등학교,충청북도,진천군,덕산읍,두촌리 2596,36.90316345,127.5397687
새솔초등학교,초등학교,경기도,화성시,새솔동,12,37.2890807,126.8190155
송린초등학교,초등학교,경기도,화성시,새솔동,0,37.27823129,126.8241504
정현초등학교,초등학교,경기도,화성시,산척동,산126,37.17144705,127.113271
한율초등학교,초등학교,경기도,화성시,목동,222-1,37.18641561,127.1226079
공덕초등학교,초등학교,부산광역시,금정구,두구동,224-1,35.29585964,129.1113124
고덕초등학교,초등학교,경기도,평택시,고덕면,좌교리 275-1,37.041112,127.02881
구정초등학교,초등학교,강원특별자치도,강릉시,구정면,학산리 393번지,37.71771534,128.8913615
고산초등학교,초등학교,충청남도,당진시,고대면,장항리 1050-2,36.95731451,126.5727152
중앙초등학교,초등학교,강원특별자치도,강릉시,입암동,13-1,37.75808663,128.922852
우촌초등학교,초등학교,서울특별시,성북구,돈암동,609,37.595608,127.011433
내곡초등학교,초등학교,경상남도,거제시,아주동,1478,34.87081922,128.6785655
