School_Name,School_Type,County,City,Town,Address,Latitude,Longitude
삼평중학교,중학교,경기도,성남시,분당구,삼평동 727,37.400607,127.1157402
대전대성중학교,중학교,대전광역시,중구,목동,95-1,36.331971,127.4070779
외솔중학교,중학교,울산광역시,중구,서동,622,35.58435465,129.3431813
영암낭주중학교,중학교,전라남도,영암군,학산면,독천리 151,34.72700558,126.5662539
영종중학교,중학교,인천광역시,중구,운남동,1655-12,37.48351207,126.5252529
동해중학교,중학교,경상남도,고성군,동해면,양촌리 814,35.04641801,128.4474265
홍천중학교,중학교,강원특별자치도,홍천군,홍천읍,희망리 20-6 번지,37.69793823,127.8907053
함태중학교,중학교,강원특별자치도,태백시,황지동,166-2번지,37.14594878,128.9865614
서일중학교,중학교,충청남도,서산시,지곡면,화천리 908,36.85930055,126.4324993
상봉중학교,중학교,서울특별시,중랑구,상봉동,282,37.60152799,127.0901246
양청중학교,중학교,충청북도,청주시,청원구,오창읍 양청리 704,36.72014588,127.424052
천호중학교,중학교,서울특별시,강동구,천호동,38-1,37.54651926,127.139698
제주여자중학교,중학교,제주특별자치도,제주시,아라일동,2360,33.4833337,126.5397621
삼선중학교,중학교,서울특별시,성북구,동소문동4가,278-174,37.59174763,127.0078716
충암중학교,중학교,서울특별시,은평구,응암동,272-113,37.58464029,126.9218095
강서중학교,중학교,인천광역시,강화군,하점면,이강리 389,37.77311093,126.3881076
신월중학교,중학교,경상남도,창원시,의창구,신월동 33,35.22860169,128.6935418
미금중학교,중학교,경기도,남양주시,다산동,3526,37.61497744,127.1593169
계룡중학교,중학교,경상남도,거제시,고현동,293-3,34.88492349,128.6283693
순천주암중학교,중학교,전라남도,순천시,주암면,창촌리 663,35.06307271,127.2732628
율량중학교,중학교,충청북도,청주시,청원구,주중동 581-6,36.67563376,127.486176
한산중학교,중학교,경상남도,통영시,한산면,하소리 36-2,34.768266,128.5076295
상서중학교,중학교,전북특별자치도,부안군,상서면,용서리 117,35.68741026,126.6765207
원동중학교,중학교,경상남도,양산시,원동면,원리 577,35.37604466,128.9216574
대전갑천중학교,중학교,대전광역시,서구,월평동,306,36.36194589,127.369162
대서중학교,중학교,대구광역시,달서구,송현동,898-15,35.82360753,128.5435493
목포정명여자중학교,중학교,전라남도,목포시,양동,86-1,34.79640482,126.3831138
운리중학교,중학교,광주광역시,서구,풍암동,897,35.121707,126.8626226
약산중학교,중학교,전라남도,완도군,약산면,장용리 850,34.39213844,126.8996588
삼성현중학교,중학교,경상북도,경산시,백천동,591-2,35.801141,128.7401211
옥동중학교,중학교,울산광역시,남구,옥동,648-1,35.5383655,129.2840699
분당중학교,중학교,경기도,성남시,분당구,정자동 153,37.36090634,127.1110695
석포여자중학교,중학교,부산광역시,남구,용당동,596-1,35.12211493,129.0940301
군산금강중학교,중학교,전북특별자치도,군산시,미룡동,899,35.940976,126.6882519
낙동중학교,중학교,부산광역시,강서구,대저1동,1491-7,35.21643385,128.9662764
숭실중학교,중학교,서울특별시,은평구,신사동,300-88,37.59327482,126.9024039
이리북중학교,중학교,전북특별자치도,익산시,신동,427-1,35.96370252,126.9514716
원광중학교,중학교,전북특별자치도,익산시,부송동,122-5,35.97389316,127.0013592
기계중학교기북분교장,중학교,경상북도,포항시,북구,기북면 용기리 74,36.13131831,129.1671005
신동중학교,중학교,서울특별시,서초구,잠원동,54-6,37.5169159,127.0129154
불암중학교,중학교,서울특별시,노원구,하계동,288-3,37.64573547,127.0734572
안락중학교,중학교,부산광역시,동래구,안락동,177-3,35.19163803,129.1092578
상촌중학교,중학교,경기도,수원시,권선구,금곡동 1057,37.27623606,126.935309
동국대학교사범대학부속여자중학교,중학교,서울특별시,광진구,구의동,238-1,37.54192936,127.0869731
전주평화중학교,중학교,전북특별자치도,전주시,완산구,평화동2가 911-2,35.78337483,127.1340232
고실중학교,중학교,광주광역시,광산구,장덕동,1310,35.19295174,126.8129875
순천승평중학교,중학교,전라남도,순천시,해룡면,신대리 1967,34.93819484,127.5452926
김해모산중학교,중학교,경상남도,김해시,장유동,872,35.16598838,128.8300547
신상중학교,중학교,서울특별시,노원구,상계동,754-4,37.65190308,127.0639869
상경중학교,중학교,서울특별시,노원구,상계동,653,37.66714877,127.0537053
능동중학교,중학교,경기도,화성시,능동,1082,37.21224018,127.0614267
대산중학교,중학교,충청남도,서산시,대산읍,대산리 150-93,36.93326619,126.4404028
후평중학교,중학교,강원특별자치도,춘천시,후평동,486-5 번지,37.87595864,127.7488513
청담중학교,중학교,서울특별시,강남구,청담동,143,37.52865979,127.0448101
매호중학교,중학교,대구광역시,수성구,매호동,1332,35.84396065,128.7022897
구미여자중학교,중학교,경상북도,구미시,원평동,404,36.12523333,128.3269776
대광중학교,중학교,서울특별시,동대문구,신설동,53-3,37.57795467,127.0253235
곡선중학교,중학교,경기도,수원시,권선구,권선동 1063,37.25452378,127.0234711
경서중학교,중학교,서울특별시,강서구,가양동,1483,37.56124186,126.857764
감곡중학교,중학교,충청북도,음성군,감곡면,오향리 890-3,37.1114206,127.641395
부산진여자중학교,중학교,부산광역시,부산진구,전포동,342-25,35.15445462,129.0694206
북후중학교,중학교,경상북도,안동시,북후면,장기리 816,36.68092819,128.6989439
장덕중학교,중학교,광주광역시,광산구,장덕동,1494,35.186225,126.811149
광주북성중학교,중학교,광주광역시,북구,유동,81-1,35.15968492,126.9032356
수일여자중학교,중학교,경기도,수원시,장안구,조원동 198-1,37.30810329,127.0076654
위미중학교,중학교,제주특별자치도,서귀포시,남원읍,위미리 2065-1,33.28049717,126.6635449
당진중학교대호지분교장,중학교,충청남도,당진시,대호지면,조금리 27-5,36.89952977,126.5092123
