County,City,Town,Address,Theater_Name,Theater_Type,Latitude,Longitude
경상남도,창원시,성산구,상남동 77-4,CGV 창원상남(3관),영화관,35.2227339,128.681386
서울특별시,중랑구,묵동,234-1,롯데시네마 중랑관 1관,영화관,37.6151502,127.0760161
경기도,안성시,공도읍,진사리 354 스타필드 안성,메가박스중앙(주)안성스타필드지점 7관,영화관,36.9943814,127.1475326
충청남도,천안시,서북구,불당동 1616 지앤지홀딩스타워 5~8층,씨네큐 천안 불당 3관,영화관,36.8125235,127.1074645
충청남도,논산시,내동,452,CGV논산 제5관,영화관,36.1830931,127.0975123
경상남도,진주시,충무공동,225-1,CGV 진주혁신 6관,영화관,35.1806302,128.143954
경상남도,산청군,신안면,하정리 930-1,산청군 작은영화관 2관,영화관,35.3013284,127.9711702
충청남도,논산시,내동,382-32,메가박스 논산 제1관,영화관,36.1899105,127.0990354
경상남도,고성군,고성읍,서외리 77-1 고성군 작은영화관,CGV고성 2관,영화관,34.9769466,128.3158337
강원특별자치도,정선군,정선읍,봉양리 144-9 아리아리정선시네마,아리아리 정선시네마 1관,영화관,37.3786212,128.6641417
강원특별자치도,정선군,고한읍,고한리 63-54 고한작은영화관,고한시네마 1관,영화관,37.1994979,128.8571673
경기도,파주시,야당동,1066,CGV 파주야당 4관,영화관,37.7131712,126.7599312
인천광역시,미추홀구,학익동,401-21,CGV 인천학익점 3관,영화관,37.4456252,126.6518047
경기도,파주시,금촌동,329-158번지,메가박스 파주금촌(7관),영화관,37.7649401,126.7747411
대전광역시,유성구,용산동,579 현대프리미엄아울렛 대전점,메가박스중앙(주)대전현대아울렛지점 1관,영화관,36.4239095,127.3986899
세종특별자치시,어진동,510,엠브릿지,메가박스중앙(주) 세종청사지점 제4관,영화관,36.5027371,127.2579948
세종특별자치시,나성동,821,세종가로수길 5층,메가박스중앙(주) 세종나성지점 5관,영화관,36.4834934,127.2637536
경기도,수원시,장안구,천천동 516,롯데시네마 북수원 1관,영화관,37.300664,126.9841012
경기도,포천시,소흘읍,송우리 110-3,CGV포천(2관),영화관,37.8296675,127.1499058
