address,농업_지원,농업_매물,교통,교육,편의,서비스,cluster
경상북도 성주군 선남면 소학리,-0.17632714868516577,-0.7797524742932009,0.8409775546310817,-0.004035014887522725,-0.05242033103818933,-0.3000663134511972,3
경상북도 성주군 수륜면 보월리,-0.054885984322394776,-0.7771039630193973,-0.8595156900698564,-0.5602120699672256,-0.9732137881915461,-0.9187231522794778,1
경상북도 성주군 성주읍 성산리,0.7909186136881523,-0.7776911471968648,0.17409197256224518,0.39475118383474656,0.9644143334106516,0.21056356908903265,3
경상북도 성주군 금수강산면 후평리,-0.1915802177448057,-0.7335095354323008,-0.47758981222395386,-0.5605275743040168,-1.0370919114750738,-0.4935722223756159,1
경상북도 성주군 수륜면 백운리,-0.7855678420792221,-0.7780041857820726,-0.6275788651062232,-0.560476823711475,-1.1123992565017615,-1.3356620718923082,1
경상북도 성주군 수륜면 수륜리,0.12170768355740785,-0.6762377932025838,-0.8457593341627296,-0.3192774472370808,-1.0310906771289585,-0.5229500490486513,1
경상북도 성주군 대가면 흥산리,0.7710382532458033,-0.7339534020844155,-0.3130512064593794,-0.45322523402803,-0.5234838224049958,0.48785137217431296,3
경상북도 성주군 월항면 안포리,0.71557889716994,-0.6873918558548996,1.00814932486315,0.09668934860499775,0.5034343324811204,0.23819548840026933,3
경상북도 성주군 벽진면 봉학리,-0.054153785089703844,-0.7650107092889437,-1.0544813977568361,-0.5597907741673672,-1.0213066513524522,-0.6467776908522536,1
경상북도 성주군 용암면 본리리,0.05713363205590786,-0.7795653550639442,-0.11502159460362116,0.055612064522252036,-0.6971568993569135,-0.5108825751545449,1
경상북도 성주군 월항면 대산리,0.6182809068032428,-0.7590896324048428,0.6799835566653991,-0.39905028015103394,0.45216001400916134,0.3043414462564825,3
경상북도 포항남구 구룡포읍 구룡포리,-1.145323141696644,-0.7797100638998733,-0.4299613868658696,0.0012162672736981128,0.5298913007210444,-0.5669318573688288,1
경상북도 포항북구 동빈1가 ,0.0013859503713317862,-0.7749260216966497,1.9264666249530533,2.7383575849059394,2.562868871056233,2.4037305073357076,0
경상북도 포항북구 흥해읍 성곡리,0.02011330383268804,-0.7765575856794363,1.56712271501823,0.9415699779529785,1.7172831916203404,1.3332214332971999,0
경상북도 포항남구 대송면 대각리,0.3139452789408259,-0.7674417582130751,0.9144378011781092,-0.5210861359063637,0.4603525543059514,0.2571809408392184,3
경상북도 포항북구 흥해읍 대련리,0.24333894325734629,-0.685599453193133,1.5180342717308222,-0.31310344116987254,0.7262824832430897,0.8251553762686529,3
경상북도 포항북구 흥해읍 이인리,0.1810450888615732,-0.7540764343706854,1.3394803923281093,1.4834232493688535,1.0620163287257451,1.0115935880195241,0
경상북도 포항남구 대송면 송동리,0.4009820312024727,-0.7473855837983048,1.0705264150119154,0.09178567506971402,1.0078933841552458,1.0509302764673372,3
경상북도 포항남구 대송면 제내리,0.41574205487758426,-0.7413225745668968,1.4900122675274503,1.1191521980095367,1.8253613207724104,1.4203812013748793,0
