상품명,도,시군구
파프리카,경상북도,청송군
토종대추,경상북도,청송군
세척고추,경상북도,청송군
청송사과,경상북도,청송군
산삼배양근,경상북도,영주시
벌꿀,경상북도,영주시
부각,경상북도,영주시
한과,경상북도,영주시
버섯,경상북도,영주시
술,경상북도,영주시
문어,경상북도,영주시
전통장류,경상북도,영주시
가지&애호박,경상북도,영주시
복숭아,경상북도,영주시
자두,경상북도,영주시
고구마,경상북도,영주시
참마,경상북도,영주시
생강,경상북도,영주시
포도,경상북도,영주시
콩,경상북도,영주시
계란,경상북도,영주시
쌀,경상북도,영주시
한우,경상북도,영주시
풍기인삼,경상북도,영주시
사과,경상북도,영주시
경주천년한우,경상북도,경주시
경주체리,경상북도,경주시
상주 오미자,경상북도,상주시
상주 벌꿀,경상북도,상주시
상주 복숭아,경상북도,상주시
상주 한우,경상북도,상주시
상주 오이,경상북도,상주시
상주 포도,경상북도,상주시
상주 사과,경상북도,상주시
상주 배,경상북도,상주시
상주 곶감,경상북도,상주시
상주 쌀,경상북도,상주시
김천자두,경상북도,김천시
김천포도,경상북도,김천시
고령 딸기,경상북도,고령군
참외,경상북도,고령군
우곡그린수박,경상북도,고령군
고령옥미,경상북도,고령군
마늘,경상북도,의성군
쌀,경상북도,의성군
복숭아,경상북도,의성군
자두,경상북도,의성군
사과,경상북도,의성군
양송이,경상북도,경주시
토마토,경상북도,경주시
예천 참기름,경상북도,예천군
금당꿀,경상북도,예천군
예천사과,경상북도,예천군
은풍준시 곶감,경상북도,예천군
예천잡곡,경상북도,예천군
찰옥수수,경상남도,고성군
곱배인삼,경상남도,고성군
부추,경상남도,고성군
시금치,경상남도,고성군
파프리카,경상남도,고성군
화훼,경상남도,고성군
애호박,경상남도,고성군
취나물,경상남도,고성군
풋고추,경상남도,고성군
딸기,경상남도,고성군
버섯,경상남도,고성군
참다래,경상남도,고성군
방울토마토,경상남도,고성군
단감,경상남도,고성군
고성 쌀,경상남도,고성군
고성녹용,경상남도,고성군
고성돼지,경상남도,고성군
고성한우,경상남도,고성군
샤인머스켓,경상남도,합천군
성산사과,경상남도,창녕군
함양농업가공사업소,경상남도,함양군
지리산마천농협,경상남도,함양군
인삼죽염,경상남도,함양군
삼민목장,경상남도,함양군
우리가,경상남도,함양군
지리산산골흑돼지,경상남도,함양군
장충동 B&F,경상남도,함양군
내수면 철갑상어,경상남도,함양군
밤,경상남도,함양군
공정육묘,경상남도,창녕군
창녕체리,경상남도,창녕군
감자,경상남도,창녕군
창녕수박,경상남도,창녕군
"장목면 양파,유자",경상남도,거제시
붕장어,경상남도,사천시
새조개,경상남도,사천시
전어,경상남도,사천시
멸치,경상남도,사천시
쥐치,경상남도,사천시
바지락,경상남도,사천시
포도,경상남도,사천시
파프리카,경상남도,사천시
차나무,경상남도,사천시
새송이버섯,경상남도,사천시
느타리버섯,경상남도,사천시
수박,경상남도,사천시
참다래,경상남도,사천시
㈜석광아이티에스,경상남도,진주시
대원산업㈜,경상남도,진주시
㈜한국바이오케미칼,경상남도,진주시
㈜실키안,경상남도,진주시
금포영농조합법인,경상남도,진주시
민희영농조합법인,경상남도,진주시
㈜참진정,경상남도,진주시
진주시농협쌀조합공동사업법인,경상남도,진주시
송이식품,경상남도,진주시
문산머쉬영농조합법인,경상남도,진주시
햇살담은자연마을영농조합법인,경상남도,진주시
대호영농조합법인,경상남도,진주시
주흥미곡처리장,경상남도,진주시
㈜한일식품,경상남도,진주시
건웅식품㈜,경상남도,진주시
우엉마영농조합법인,경상남도,진주시
하봉정푸드,경상남도,진주시
반성전통한과,경상남도,진주시
㈜장생도라지,경상남도,진주시
싱싱단감농장,경상남도,진주시
밤,경상남도,합천군
녹차,경상남도,합천군
발효차,경상남도,합천군
허굴농차,경상남도,합천군
기능성소금선물세트,경상남도,합천군
황토소금,경상남도,합천군
벌꿀,경상남도,산청군
양계,경상남도,산청군
양돈,경상남도,산청군
한우,경상남도,산청군
복분자,경상남도,산청군
"누에환, 동충하초, 뽕잎차",경상남도,산청군
녹차,경상남도,산청군
느타리버섯,경상남도,산청군
취나물,경상남도,산청군
양파,경상남도,산청군
마늘,경상남도,산청군
수박,경상남도,산청군
애플망고,경상남도,함안군
곶감,경상남도,함안군
남부면 고구마,경상남도,거제시
"일운면 마늘, 상황버섯, 한라봉",경상남도,거제시
"수양동 배추, 무",경상남도,거제시
상문동 무농약쌀,경상남도,거제시
곶감,경상남도,진주시
대나무숯,경상남도,진주시
밤,경상남도,진주시
새송이버섯,경상남도,진주시
상황버섯,경상남도,진주시
꽈리고추,경상남도,진주시
오이,경상남도,진주시
산머루,경상남도,함양군
옻,경상남도,함양군
새송이 버섯,경상남도,함양군
남해삼베,경상남도,남해군
만복당향,경상남도,남해군
한방향,경상남도,남해군
우렁쉥이,경상남도,남해군
홍합,경상남도,남해군
개조개,경상남도,남해군
굴,경상남도,남해군
바지락,경상남도,남해군
전복,경상남도,남해군
전어,경상남도,남해군
갈치,경상남도,남해군
붕장어,경상남도,남해군
멸치액젓,경상남도,남해군
멸치,경상남도,남해군
메주,경상남도,남해군
우리밀국수,경상남도,남해군
비자,경상남도,남해군
유자주,경상남도,남해군
고구마 쫀득이,경상남도,통영시
고구마 빼떼기죽,경상남도,통영시
미나리진액,경상남도,통영시
동백·유자오일,경상남도,통영시
옥수수,경상남도,통영시
마늘,경상남도,통영시
블루베리,경상남도,통영시
용과,경상남도,통영시
애플망고,경상남도,통영시
유자,경상남도,통영시
꿀,경상남도,함양군
계란,경상남도,함양군
돼지고기,경상남도,함양군
소고기,경상남도,함양군
상황버섯,경상남도,함양군
느타리버섯,경상남도,함양군
송이버섯,경상남도,함양군
감말랭이,경상남도,함양군
곶감,경상남도,함양군
절임배추,경상남도,함양군
두릅,경상남도,함양군
파프리카,경상남도,함양군
토마토,경상남도,함양군
여주,경상남도,함양군
딸기,경상남도,함양군
양파,경상남도,함양군
블루베리,경상남도,함양군
오미자,경상남도,함양군
복분자,경상남도,함양군
단감,경상남도,함양군
배,경상남도,함양군
사과,경상남도,함양군
밀가루,경상남도,함양군
잡곡,경상남도,함양군
쌀,경상남도,함양군
파프리카,경상남도,함안군
버섯,경상남도,창원시
안개초,경상남도,창원시
국화,경상남도,창원시
토마토,경상남도,창원시
파프리카,경상남도,창원시
멜론,경상남도,창원시
딸기,경상남도,창원시
참외,경상남도,창원시
풋고추,경상남도,창원시
수박,경상남도,창원시
천혜향,경상남도,창원시
복숭아,경상남도,창원시
블루베리,경상남도,창원시
키위,경상남도,창원시
단감,경상남도,창원시
국화,경상남도,창원시
은어,경상남도,밀양시
카네이션,경상남도,밀양시
표고버섯,경상남도,밀양시
밤,경상남도,밀양시
대추,경상남도,밀양시
가지,경상남도,밀양시
감자,경상남도,밀양시
수박,경상남도,밀양시
배,경상남도,밀양시
포도,경상남도,밀양시
얼음골 사과,경상남도,밀양시
파프리카,경상남도,밀양시
홍고추,경상남도,밀양시
꽈리고추,경상남도,밀양시
청양고추,경상남도,밀양시
밀양 들깻잎,경상남도,밀양시
얼음골쌀,경상남도,밀양시
흙으로빚은쌀,경상남도,밀양시
밀양아리랑쌀,경상남도,밀양시
"동부면 표고버섯, 알로에",경상남도,거제시
"거제면 파프리카, 한라봉, 알로에, 토마토, 파인애플",경상남도,거제시
"둔덕면 포도, 축산",경상남도,거제시
"사등면 유자, 비파, 토마토, 느타리버섯",경상남도,거제시
"연초면 상황버섯, 들깨, 유자",경상남도,거제시
"하청면 맹종죽(죽순), 풋고추, 유자, 치자",경상남도,거제시
딸기,경상남도,산청군
밤,경상남도,산청군
곶감,경상남도,산청군
단감,경상남도,산청군
배,경상남도,산청군
사과,경상남도,산청군
고구마,경상남도,산청군
산청친환경쌀,경상남도,산청군
파프리카,경상남도,하동군
양상추,경상남도,하동군
참다래,경상남도,하동군
토마토,경상남도,하동군
수박,경상남도,하동군
딸기,경상남도,하동군
단감,경상남도,하동군
대봉감,경상남도,하동군
배,경상남도,하동군
산양삼,경상남도,함양군
남해유정란,경상남도,남해군
보물섬남해한우,경상남도,남해군
남해재래 시금치,경상남도,남해군
"호박차,호박찜",경상남도,남해군
참다래,경상남도,남해군
땅두릅,경상남도,남해군
박나물,경상남도,남해군
청정쌀,경상남도,남해군
고사리,경상남도,남해군
치자,경상남도,남해군
유자청,경상남도,남해군
유자,경상남도,남해군
알로에,경상남도,남해군
마늘,경상남도,남해군
돼지고기 부분육,경상남도,창녕군
창녕한우,경상남도,창녕군
우포늪복숭아,경상남도,창녕군
파프리카,경상남도,창녕군
토마토,경상남도,창녕군
풋고추,경상남도,창녕군
화왕산미나리,경상남도,창녕군
창녕오이,경상남도,창녕군
창녕단감,경상남도,창녕군
창녕고추,경상남도,창녕군
창녕마늘,경상남도,창녕군
창녕양파,경상남도,창녕군
참외,경상남도,함안군
포도,경상남도,함안군
연근,경상남도,함안군
단감,경상남도,함안군
복숭아,경상남도,함안군
방울토마토,경상남도,함안군
메론,경상남도,함안군
오이,경상남도,함안군
수박,경상남도,함안군
매실,경상남도,사천시
딸기,경상남도,사천시
토마토,경상남도,사천시
배,경상남도,사천시
단감,경상남도,사천시
호접란,경상남도,진주시
우엉,경상남도,진주시
마,경상남도,진주시
복숭아,경상남도,진주시
매실,경상남도,진주시
배,경상남도,진주시
단감,경상남도,진주시
진주고추,경상남도,진주시
깻잎,경상남도,진주시
토마토,경상남도,진주시
수박,경상남도,진주시
메론,경상남도,진주시
가지,경상남도,진주시
파프리카,경상남도,진주시
호박,경상남도,진주시
피망,경상남도,진주시
딸기,경상남도,진주시
사과,경상남도,합천군
파프리카,경상남도,합천군
미나리,경상남도,합천군
도자기,경상남도,합천군
우렁이쌀,경상남도,합천군
합천황토한우,경상남도,합천군
황매산 블루베리,경상남도,합천군
표고버섯,경상남도,합천군
친환경 고추,경상남도,합천군
유기농 토마토,경상남도,합천군
딸기,경상남도,합천군
친환경 쌀,경상남도,합천군
고사리,경상남도,합천군
두릅,경상남도,합천군
꿀,경상남도,합천군
덕곡생생마늘,경상남도,합천군
합천토종흑돼지,경상남도,합천군
곰취,경상남도,합천군
브로콜리,경상남도,합천군
수박,경상남도,합천군
호박,경상남도,합천군
양파,경상남도,합천군
전통 장류,경상남도,합천군
꿈꾸는 달걀,경상남도,합천군
메론,경상남도,합천군
배,경상남도,합천군
쥬키니,경상남도,합천군
방울토마토,경상남도,합천군
