도,시군구,청명,위도,경도,상품명
경상남도,합천군,합천군청,35.56667034,128.1657908,"샤인머스켓, 밤, 녹차, 발효차, 허굴농차, 기능성소금선물세트, 황토소금, 사과, 파프리카, 미나리, 도자기, 우렁이쌀, 합천황토한우, 황매산 블루베리, 표고버섯, 친환경 고추, 유기농 토마토, 딸기, 친환경 쌀, 고사리, 두릅, 꿀, 덕곡생생마늘, 합천토종흑돼지, 곰취, 브로콜리, 수박, 호박, 양파, 전통 장류, 꿈꾸는 달걀, 메론, 배, 쥬키니, 방울토마토, 양떡메(양파즙, 떡가래, 메주), 산그리메(국화차), 산그리메(감잎차), 산그리메(뽕잎차), 합천 육묘장, 봉산건강원, 매실, 고추"
경상남도,창녕군,창녕군청,35.54461538,128.4921681,"성산사과, 공정육묘, 창녕체리, 감자, 창녕수박, 돼지고기 부분육, 창녕한우, 우포늪복숭아, 파프리카, 토마토, 풋고추, 화왕산미나리, 창녕오이, 창녕단감, 창녕고추, 창녕마늘, 창녕양파, 창녕 송이버섯"
경상남도,함양군,함양군청,35.52052717,127.7251605,"함양농업가공사업소, 지리산마천농협, 인삼죽염, 삼민목장, 우리가, 지리산산골흑돼지, 장충동 B&F, 내수면 철갑상어, 밤, 산머루, 옻, 새송이 버섯, 꿀, 계란, 돼지고기, 소고기, 상황버섯, 느타리버섯, 송이버섯, 감말랭이, 곶감, 절임배추, 두릅, 파프리카, 토마토, 여주, 딸기, 양파, 블루베리, 오미자, 복분자, 단감, 배, 사과, 밀가루, 잡곡, 쌀, 산양삼"
경상남도,거제시,거제시청,34.88053905,128.6211295,"장목면 양파,유자, 남부면 고구마, 일운면 마늘, 상황버섯, 한라봉, 수양동 배추, 무, 상문동 무농약쌀, 동부면 표고버섯, 알로에, 거제면 파프리카, 한라봉, 알로에, 토마토, 파인애플, 둔덕면 포도, 축산, 사등면 유자, 비파, 토마토, 느타리버섯, 연초면 상황버섯, 들깨, 유자, 하청면 맹종죽(죽순), 풋고추, 유자, 치자"
경상남도,사천시,사천시청,35.00367718,128.0642126,"붕장어, 새조개, 전어, 멸치, 쥐치, 바지락, 포도, 파프리카, 차나무, 새송이버섯, 느타리버섯, 수박, 참다래, 매실, 딸기, 토마토, 배, 단감"
경상남도,진주시,진주시청,35.18022283,128.1077063,"㈜석광아이티에스, 대원산업㈜, ㈜한국바이오케미칼, ㈜실키안, 금포영농조합법인, 민희영농조합법인, ㈜참진정, 진주시농협쌀조합공동사업법인, 송이식품, 문산머쉬영농조합법인, 햇살담은자연마을영농조합법인, 대호영농조합법인, 주흥미곡처리장, ㈜한일식품, 건웅식품㈜, 우엉마영농조합법인, 하봉정푸드, 반성전통한과, ㈜장생도라지, 싱싱단감농장, 곶감, 대나무숯, 밤, 새송이버섯, 상황버섯, 꽈리고추, 오이, 호접란, 우엉, 마, 복숭아, 매실, 배, 단감, 진주고추, 깻잎, 토마토, 수박, 메론, 가지, 파프리카, 호박, 피망, 딸기"
경상남도,산청군,산청군청,35.41553039,127.87335,"벌꿀, 양계, 양돈, 한우, 복분자, 누에환, 동충하초, 뽕잎차, 녹차, 느타리버섯, 취나물, 양파, 마늘, 수박, 딸기, 밤, 곶감, 단감, 배, 사과, 고구마, 산청친환경쌀"
경상남도,함안군,함안군청,35.2724276,128.4064986,"애플망고, 곶감, 파프리카, 참외, 포도, 연근, 단감, 복숭아, 방울토마토, 메론, 오이, 수박"
경상남도,남해군,남해군청,34.83770155,127.892652,"남해삼베, 만복당향, 한방향, 우렁쉥이, 홍합, 개조개, 굴, 바지락, 전복, 전어, 갈치, 붕장어, 멸치액젓, 멸치, 메주, 우리밀국수, 비자, 유자주, 남해유정란, 보물섬남해한우, 남해재래 시금치, 호박차,호박찜, 참다래, 땅두릅, 박나물, 청정쌀, 고사리, 치자, 유자청, 유자, 알로에, 마늘"
경상남도,통영시,통영시청,34.85444392,128.4331492,"고구마 쫀득이, 고구마 빼떼기죽, 미나리진액, 동백·유자오일, 옥수수, 마늘, 블루베리, 용과, 애플망고, 유자, 유자청, 참다래, 시금치, 땅두릅, 파프리카, 밀감, 딸기, 고구마줄기, 통영풍난, 고구마"
경상남도,창원시,창원시청,35.22793981,128.6818341,"버섯, 안개초, 국화, 토마토, 파프리카, 멜론, 딸기, 참외, 풋고추, 수박, 천혜향, 복숭아, 블루베리, 키위, 단감"
경상남도,밀양시,밀양시청,35.5038173,128.7466053,"은어, 카네이션, 표고버섯, 밤, 대추, 가지, 감자, 수박, 배, 포도, 얼음골 사과, 파프리카, 홍고추, 꽈리고추, 청양고추, 밀양 들깻잎, 얼음골쌀, 흙으로빚은쌀, 밀양아리랑쌀, 한천, 양란, 딸기, 단감"
경상남도,하동군,하동군청,35.0673056,127.751308,"파프리카, 양상추, 참다래, 토마토, 수박, 딸기, 단감, 대봉감, 배"
경상남도,김해시,김해시청,35.22856536,128.8893627,"산딸기, 키위, 매실, 포도, 복숭아, 단감, 파프리카, 부추, 가지, 토마토, 참외, 딸기, 서양란, 금어초, 숙근안개초, 거베라, 카네이션, 국화, 장미&장군차"
