address,우체국_total_score,경찰서_total_score,농업기술센터_total_score,농산물직거래판매장_total_score,농지매물_total_score,편의점_total_score,학원_total_score,은행_total_score,기차역_total_score,차량정비소_total_score,행정복지센터_total_score,시장_total_score,농기계대여소_total_score,초중학교_total_score,버스정류장_total_score,병원_total_score,고속버스터미널_total_score
경상남도 합천군 삼가면 소오리,1.4829373861458153,1.045669858604297,0.5358838636022061,0.6106473175160588,0.8059775366209448,0.7702403850415371,2.4612873348297697e-08,0.032325065625458956,0.004914435048101007,2.254583542894544,2.0654665321946144,0.7902511352515929,0.9040541038969998,0.9041391459127311,1.1985257063275154,1.3681245595079379,0.9353149533721502
경상남도 합천군 삼가면 하판리,1.5540995640505109,0.8439126419454348,0.5489995696363971,0.8617426683392376,0.07529573023791891,0.055283542420824935,7.637479252002745e-10,0.05711824104660191,0.00198230947415766,1.5113217609032605,1.8478087894663215,0.5171517622227257,0.7845302834329428,0.05040463066885683,1.3224522863793395,0.7967790468139573,0.9408668451470207
경상남도 합천군 삼가면 덕진리,0.7816071085784584,0.9200014300330541,0.48514919544197627,0.6067893637545407,0.0457489848333411,0.00210050358772537,7.355906630873988e-06,0.020921405988372863,0.004154334702558995,1.8401839461022087,1.8464956297069788,0.3351363422751805,0.7424098643220028,0.004860096443900399,0.5895889434721461,0.9093837818602101,0.8020944391650643
경상남도 합천군 가회면 도탄리,0.45922518204809165,0.647426935932599,0.5690822914175689,1.0057419022679328,0.025871293330658227,0.0004650195129228545,4.588724512328044e-09,0.059538942494336514,0.0007241680627343203,0.7250243845339662,1.2365785940147938,0.010404041738368688,0.2669978944424539,0.002885325694223742,1.7238117042822951,0.13835430945735422,0.48844528467607884
경상남도 하동군 북천면 서황리,0.8697875059388579,1.2715770043276249,0.647060896433238,0.5887339949041605,1.3065377147491088,4.12148999658049e-05,9.33050905539019e-05,0.12959392247484064,1.1454670452711122,2.2800921417469593,1.8812527195692061,0.8719074749363819,1.612028310275823,0.09807693923601724,1.3689255531858802,1.6803228999473157,0.5447972798306728
경상남도 하동군 옥종면 월횡리,0.6274441685026511,1.173972041612491,0.40301863504797225,0.2744497859869153,0.5301793934700313,0.009953163193266888,0.0514929027101356,0.021285187051747926,0.4773965650909358,2.7248308070590777,1.4318483484238387,0.488163447984244,0.26426972410948946,0.016864450829231548,0.9778789059549196,0.6816819045184181,0.09723834415866878
경상남도 하동군 옥종면 정수리,0.8394778625648469,1.4332384854454547,0.5500523200301454,0.4347637198783457,0.7520100265577435,0.0447879892988008,0.10219002061178065,0.05786050745425747,1.0007648191602536,2.837291340929385,1.8063613935619593,0.7848784557836305,1.051313472023234,0.07939287945655948,1.7498856420462368,1.711248105403036,0.3130392649108311
경상남도 하동군 옥종면 궁항리,0.2511986992343329,0.6864002855271102,0.3917109283928759,0.16141100101005285,0.5411663500777328,0.00021340037044815269,2.6319730587229098e-05,0.03456761905004387,0.2782584636793674,2.306002837178377,1.0416241662710906,0.18835891633665017,0.13068269662223758,0.0005818932588583284,0.675415894624927,0.33174237457048145,0.05716882686817262
경상남도 하동군 옥종면 위태리,0.4190064466642681,0.9680622935108841,0.4007307294020429,0.22031534548699858,0.9774375285727787,0.0007879183659436077,0.0037001782830220235,0.026566469360585328,0.40300703247329545,2.6242078329295606,1.2754149328537285,0.43727764420162424,0.20682538208644838,0.0013254282130382303,1.1083683613736108,0.566029106626287,0.08162358694173745
경상남도 하동군 금성면 가덕리,0.7891857143635862,1.4266328498279677,0.586558940780908,1.8376995826097204,0.5075582836143673,0.23801443688955756,0.00014451852080064442,0.11162296270327643,0.038895042447104934,2.5719080393177194,1.5712511879310012,0.10490895430765666,0.438411747863423,0.048864620663732296,0.3755828681043005,1.1584632909089327,0.3794178352818126
